,X-axis Angular Velocity,Y-axis Angular Velocity,Z-axis Angular Velocity,X-axis Acceleration,Y-axis Acceleration,Z-axis Acceleration,X-axis Angle,Y-axis Angle,Z-axis Angle,Base Action,Action
0,0.585974007,0.558022968,0.42428417,0.418915488,0.500327264,0.587391542,0.85743844,0.805220165,0.611078838,1,init
1,0.590231587,0.568827796,0.42194049,0.471179063,0.463425319,0.577468411,0.851798847,0.763018166,0.526173385,2,init
2,0.604023368,0.576542373,0.423350677,0.431286629,0.572894452,0.618667087,0.835906812,0.853343183,0.723110184,1,init
3,0.567939778,0.549998915,0.422880589,0.454504608,0.490137238,0.577534068,0.85319972,0.792292307,0.585818365,2,init
4,0.605087807,0.562037194,0.422410578,0.42070863,0.515466835,0.575667214,0.856661511,0.813905926,0.635212002,1,init
5,0.565811075,0.565432469,0.424754181,0.448767229,0.487880895,0.593089769,0.851285457,0.79053084,0.584575533,2,init
6,0.565811075,0.560184793,0.424754181,0.43200366,0.485988752,0.579924675,0.85888089,0.795243212,0.585028338,2,init
7,0.56261776,0.54969384,0.424754181,0.485970887,0.459203567,0.600753335,0.842203724,0.742457486,0.509266067,2,init
8,0.615701579,0.558641867,0.42194049,0.41748105,0.551568329,0.574357353,0.842995214,0.830384391,0.691706719,1,init
9,0.573246664,0.559875318,0.424754181,0.379561109,0.495450376,0.584116615,0.869960473,0.806514908,0.606783666,2,init
10,0.557310874,0.565432469,0.423820765,0.471358414,0.413567184,0.575961988,0.857122705,0.750001233,0.46081566,2,init
11,0.63057293,0.565432469,0.422880589,0.418556785,0.573403968,0.6195841,0.835662381,0.848282671,0.717482029,1,init
12,0.56261776,0.552779691,0.42428417,0.460510826,0.468010663,0.567054218,0.857920422,0.775529406,0.539966476,2,init
13,0.596602911,0.562656093,0.42194049,0.388614807,0.53235293,0.581332885,0.856833791,0.819008025,0.656443455,1,init
14,0.564746637,0.573765997,0.422880589,0.459704306,0.446538617,0.590699162,0.854069112,0.75889311,0.511084816,2,init
15,0.576424673,0.562965569,0.419126723,0.429403999,0.518742212,0.586343626,0.851418568,0.816661464,0.641596523,1,init
16,0.60295893,0.568518321,0.420066898,0.429224647,0.493994789,0.648239785,0.846193051,0.796817619,0.602195461,2,init
17,0.53821238,0.551236765,0.421006997,0.488301335,0.462770183,0.57664961,0.846877835,0.748334113,0.509393339,2,init
18,0.587038446,0.563580119,0.417253131,0.389780405,0.461241329,0.582610055,0.875974585,0.795066727,0.561442267,2,init
19,0.528647741,0.562965569,0.421470403,0.450560745,0.486643888,0.556181518,0.863086474,0.794090852,0.577941348,2,init
20,0.548825978,0.571294697,0.417723219,0.428328264,0.560884637,0.636351724,0.839079148,0.848424226,0.704575876,1,init
21,0.544583531,0.552779691,0.421470403,0.452353512,0.491083613,0.617029623,0.846354479,0.790488265,0.590763365,2,init
22,0.575360235,0.561113218,0.416319714,0.375974826,0.514593422,0.583232431,0.86862926,0.812640277,0.631270489,1,init
23,0.54776154,0.576851848,0.420066898,0.392021738,0.510735871,0.591583483,0.862476483,0.811387008,0.627026031,1,init
24,0.552003988,0.574999448,0.421470403,0.460152123,0.449232123,0.564368837,0.864207624,0.768470761,0.509289916,2,init
25,0.604023368,0.571913596,0.421006997,0.413357087,0.527039791,0.631603065,0.847673482,0.822314744,0.652137633,1,init
26,0.597652044,0.570061246,0.421470403,0.484177372,0.441225478,0.592664228,0.852869994,0.737258019,0.483223836,2,init
27,0.592345332,0.550617815,0.421470403,0.437741039,0.523837073,0.60317677,0.853382022,0.822045802,0.650789397,1,init
28,0.584924874,0.556174967,0.42428417,0.434065642,0.502074091,0.562305422,0.869698774,0.806217837,0.610450563,1,init
29,0.595538473,0.572842022,0.426164445,0.489197718,0.458111877,0.582610055,0.852012623,0.742934978,0.500807383,2,init
30,0.606152245,0.575308923,0.426627773,0.450381394,0.464807945,0.615490372,0.849305242,0.76937281,0.546691458,2,init
31,0.580667121,0.549998915,0.426627773,0.459614443,0.471649937,0.585491997,0.852747154,0.774173595,0.549484968,2,init
32,0.626315177,0.561727719,0.422880589,0.41344695,0.48882727,0.566399287,0.870893523,0.802059552,0.591952115,2,init
33,0.576424673,0.570680146,0.427567949,0.464904004,0.488608689,0.577009904,0.851088705,0.787245568,0.578735926,2,init
34,0.594474034,0.561418244,0.424754181,0.418915488,0.536792654,0.62505321,0.84462068,0.829322006,0.667718888,1,init
35,0.595538473,0.55154179,0.425224269,0.457283621,0.439551309,0.592533187,0.854866773,0.757397591,0.503992413,2,init
36,0.636928949,0.558022968,0.422880589,0.379739712,0.514884661,0.56535137,0.874022058,0.812510507,0.63128665,1,init
37,0.577489112,0.565432469,0.425694357,0.451367266,0.529950967,0.564761686,0.847338117,0.826581555,0.66733862,1,init
38,0.589167322,0.560494268,0.423350677,0.444105586,0.559866212,0.6263959,0.837218753,0.853515161,0.711746832,1,init
39,0.611459131,0.557098942,0.422410578,0.478619345,0.450251156,0.612313793,0.843238017,0.741222745,0.504139246,2,init
40,0.616765843,0.556480042,0.421006997,0.402778714,0.521726349,0.575274228,0.858976485,0.815904173,0.643371644,1,init
41,0.568989084,0.554322616,0.423350677,0.451725594,0.473396763,0.578516464,0.856037268,0.780708618,0.556020918,2,init
42,0.584924874,0.561727719,0.421470403,0.41371579,0.503675602,0.601506341,0.855395678,0.807055606,0.617110032,1,init
43,0.619944027,0.56790382,0.422880589,0.41963252,0.508843121,0.627673206,0.848984984,0.809831329,0.625503026,1,init
44,0.60295893,0.552470216,0.421006997,0.387539072,0.509425903,0.587948261,0.863989856,0.810907893,0.62514212,1,init
45,0.590231587,0.554632041,0.423820765,0.379381758,0.51190022,0.569706906,0.873574904,0.811801554,0.627398217,1,init
46,0.591280893,0.558332392,0.42194049,0.492335435,0.424266422,0.585164532,0.849550733,0.729302772,0.454960577,2,init
47,0.561568627,0.552160741,0.423350677,0.401165299,0.562995969,0.617226048,0.843576769,0.837708562,0.697508129,1,init
48,0.613587834,0.556174967,0.422410578,0.461497073,0.497270165,0.586245277,0.851248678,0.796333672,0.598751905,2,init
49,0.606152245,0.562965569,0.421470403,0.402241408,0.510881491,0.567381683,0.870543109,0.811496445,0.626349769,1,init
50,0.574295797,0.572223071,0.42428417,0.462483319,0.50898874,0.571475274,0.854873682,0.809278931,0.623568818,1,init
51,0.581731559,0.575927873,0.42428417,0.413088621,0.56932814,0.627509337,0.843458049,0.845794252,0.70880639,1,init
52,0.63057293,0.560803743,0.422880589,0.403406632,0.535555648,0.596233792,0.856425339,0.823591188,0.662599123,1,init
53,0.59978092,0.554937117,0.42428417,0.40510991,0.480602652,0.571671972,0.879436805,0.799709069,0.581192089,2,init
54,0.565811075,0.573456522,0.423820765,0.432451852,0.496396752,0.567545416,0.864265167,0.80267498,0.601383013,2,init
55,0.571117787,0.573147047,0.422880589,0.411474457,0.557172706,0.615719762,0.843923477,0.837969754,0.69389465,1,init
56,0.637993388,0.56666592,0.422880589,0.477005929,0.451488162,0.585164532,0.85160906,0.749802185,0.5031788,2,init
57,0.604023368,0.562965569,0.420066898,0.52057376,0.546182229,0.609529927,0.841275152,0.911845954,0.767121792,1,init
58,0.577489112,0.558641867,0.423820765,0.470730496,0.499162915,0.580841551,0.849968093,0.796452198,0.600305016,2,init
59,0.589167322,0.560184793,0.421470403,0.488480686,0.522745078,0.60713932,0.842501173,0.83332102,0.663089842,1,init
60,0.54776154,0.553084716,0.423820765,0.482294742,0.52267242,0.606975724,0.843113435,0.830827237,0.660282907,1,init
61,0.576424673,0.555246592,0.423350677,0.479784943,0.485624551,0.599181254,0.848664066,0.773802288,0.565461614,2,init
62,0.589167322,0.556789517,0.423820765,0.417391187,0.535992203,0.591681832,0.854342228,0.825800981,0.666541469,1,init
63,0.595538473,0.559570293,0.42194049,0.469923601,0.525802177,0.577272123,0.848670357,0.829299977,0.663794533,1,init
64,0.629508492,0.572532547,0.422410578,0.403137791,0.479074103,0.603995434,0.867655595,0.7952299,0.582696455,2,init
65,0.600845359,0.554013141,0.42194049,0.491080348,0.464807945,0.576944521,0.851649448,0.746916073,0.509554616,2,init
66,0.600845359,0.556789517,0.423350677,0.421605013,0.512118497,0.585491997,0.862129709,0.812152776,0.629193968,1,init
67,0.59978092,0.571604172,0.42428417,0.52057376,0.567872249,0.590928552,0.838687679,0.923407426,0.805009312,1,init
68,0.581731559,0.578085299,0.425224269,0.485073755,0.417206153,0.57832004,0.857897065,0.738417224,0.452720765,2,init
69,0.564746637,0.552470216,0.423350677,0.400627993,0.564524215,0.614311551,0.842005064,0.837710671,0.699517723,1,init
70,0.616765843,0.555246592,0.420536986,0.484715426,0.479001445,0.58025214,0.846474046,0.764972014,0.545662818,2,init
71,0.583860436,0.554013141,0.422880589,0.415239717,0.533517886,0.574128099,0.853601681,0.822300423,0.663303138,1,init
72,0.600845359,0.563889544,0.421470403,0.453966927,0.457238463,0.584706025,0.856844465,0.768900008,0.529297959,2,init
73,0.61889472,0.573456522,0.42194049,0.417122347,0.499453851,0.591943777,0.857988952,0.804669849,0.609960819,1,init
74,0.600845359,0.55030834,0.422410578,0.507934154,0.470267007,0.57740289,0.839969532,0.730990266,0.499433136,2,init
75,0.60295893,0.559875318,0.422880589,0.429941679,0.508188289,0.583494376,0.855250639,0.80955203,0.623307759,1,init
76,0.584924874,0.574384947,0.425694357,0.491169837,0.565106389,0.610086782,0.836362716,0.888801492,0.758587947,1,init
77,0.592345332,0.576851848,0.424754181,0.472164935,0.426159173,0.589258123,0.851566962,0.744643512,0.476278741,2,init
78,0.568989084,0.54845599,0.425224269,0.487045874,0.502365634,0.600720506,0.839999274,0.795544974,0.604969069,2,init
79,0.593409596,0.554013141,0.425224269,0.499596365,0.458694051,0.590240792,0.839937599,0.730025797,0.491769717,2,init
80,0.615701579,0.562656093,0.423350677,0.474316779,0.553679357,0.609333503,0.836239802,0.864667089,0.723207748,1,init
81,0.632686502,0.569751771,0.425224269,0.470551519,0.51990656,0.596593949,0.842633922,0.823225826,0.650343781,1,init
82,0.612523395,0.554013141,0.424754181,0.49717643,0.523837073,0.602259621,0.839186966,0.83955013,0.67146942,1,init
83,0.596602911,0.553394191,0.426164445,0.49583148,0.443481822,0.594596328,0.842497534,0.726087164,0.475042502,2,init
84,0.584924874,0.570370721,0.426627773,0.465979364,0.542761537,0.6010808,0.839436533,0.84808559,0.697374226,1,init
85,0.585974007,0.578085299,0.426164445,0.4872256,0.462988156,0.577304815,0.847628233,0.749344759,0.510936645,2,init
86,0.579602683,0.552470216,0.427097861,0.509009141,0.512992215,0.612412006,0.838171931,0.817237492,0.637865321,1,init
87,0.619944027,0.561113218,0.422410578,0.453877439,0.484751138,0.585393785,0.853150886,0.78705619,0.576220513,2,init
88,0.585974007,0.554632041,0.42428417,0.389331839,0.503529983,0.583789149,0.866835019,0.808732772,0.61689984,1,init
89,0.593409596,0.559570293,0.422410578,0.466338068,0.441735299,0.58519736,0.854252779,0.754208213,0.498694862,2,init
90,0.57855355,0.578085299,0.424754181,0.428865944,0.573185995,0.600196479,0.833554033,0.848635217,0.724260152,1,init
91,0.566875339,0.551851265,0.424754181,0.474854459,0.481839963,0.591976468,0.845810853,0.773268462,0.560414497,2,init
92,0.608265816,0.561418244,0.422410578,0.376423393,0.538176192,0.57740289,0.859875469,0.818966545,0.661876004,1,init
93,0.589167322,0.575308923,0.425224269,0.480412112,0.459640426,0.585786771,0.84878426,0.751175094,0.513052108,2,init
94,0.593409596,0.573456522,0.423350677,0.457104644,0.51255566,0.585459305,0.848798324,0.812981905,0.632010799,1,init
95,0.625250739,0.574384947,0.425224269,0.402778714,0.54698268,0.62646142,0.846015323,0.831853692,0.677382356,1,init
96,0.607216683,0.551236765,0.426627773,0.445271184,0.499017296,0.584935415,0.853854602,0.801283373,0.605526097,2,init
97,0.619944027,0.559875318,0.426164445,0.366203722,0.529514412,0.570853172,0.877721416,0.815480462,0.648376104,1,init
98,0.60295893,0.576232898,0.428978213,0.482294742,0.449304781,0.594825718,0.851201684,0.741563349,0.496369101,2,init
99,0.601909797,0.577470748,0.426627773,0.432362364,0.538685405,0.60101528,0.849507208,0.831781472,0.674699795,1,init
100,0.590231587,0.551851265,0.428038037,0.489466933,0.485551894,0.58018662,0.848858661,0.769115301,0.556602698,2,init
101,0.621008291,0.560803743,0.425224269,0.41290927,0.535846887,0.574684818,0.851158624,0.822989017,0.666537298,1,init
102,0.612523395,0.574075472,0.426164445,0.458269493,0.511463665,0.587260502,0.846189132,0.811851227,0.629995055,1,init
103,0.609330254,0.576851848,0.426627773,0.441416436,0.511609285,0.614671708,0.845529209,0.811930045,0.630205168,1,init
104,0.598716482,0.561113218,0.424754181,0.40295844,0.515612455,0.593974089,0.855467966,0.813744929,0.634681264,1,init
105,0.577489112,0.553394191,0.425694357,0.447243677,0.454108706,0.572457807,0.864758319,0.774804626,0.526567876,2,init
