,Unnamed: 0,ECU Absolute Time,Atmospheric Pressure,Inclination Switch,Fault Code Count,Ignition Coil Current Diagnosis,Fault Light Mileage,Engine Operating Time,Ignition Advance Angle,Idling Correction Ignition Angle,Fuel Injection Prohibition Mode,Injection Mode,Bypass Delay Correction,ABV Opening,ABV Idling Correction,ABV Learning Value,Lambda Setting,Air-Fuel Ratio Rich,Closed Loop Control,Air Flow,Throttle Valve Air Flow,Intake Manifold Pressure,Intake Manifold Front Pressure,MFF_AD_ADD_MMV_REL,MFF_AD_FAC_MMV_REL,MFF_AD_ADD_MMV,MFF_AD_FAC_MMV,Fuel Injection Quantity,MFF_WUP_COR,Ignition Mode,Engine RPM,Engine RPM Limit,Idling Target RPM,Fuel Injection Start Angle,Fuel Pump State,Engine State,Engine Temperature,Water Temperature PWM,Ignition Magnetization Time,Fuel Injection Time,Closed Loop Fuel Correction,Intake Temperature,Combustion Chamber Intake Temperature,TPS Opening,TPS Idling Learning Value,Battery Voltage,O2 Voltage,Vehicle Speed,TPS Voltage,Seat Switch State,Absolute Time,X-axis Angular Velocity,Y-axis Angular Velocity,Z-axis Angular Velocity,X-axis Acceleration,Y-axis Acceleration,Z-axis Acceleration,X-axis Angle,Y-axis Angle,Z-axis Angle,Action,Base Action,length = 6,length = 12,length = 18,length = 24,length = 30,Filtered length = 6,Filtered length = 12,Filtered length = 18,Filtered length = 24,Filtered length = 30
0,0,2023-04-17 14:16:18.681271040+08:00,1007,0.777050013,0,0.092773124,0,855.6666632,11.71831372,-0.000313728,0,5,0,97.03125,10.31113724,14.99858822,0.999952896,128,28,41.35935912,13.96874464,511,741,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.437499376,0.01952941,1,1831,10600,1825,180.0,1,2,83,0,2.676,1.888,-15.00234138,40,48,0.277343608,0.214843024,12.93721958,0.888668872,14.97128136,0.224608616,0,2023-04-17 14:16:18.770000+08:00,0.585974007,0.558022968,0.42428417,0.418915488,0.500327264,0.587391542,0.85743844,0.805220165,0.611078838,,1,Turn Right,Turn Right,Turn Right,Turn Right,Turn Right,Idle,Idle,Idle,Idle,Idle
5,5,2023-04-17 14:16:18.681271040+08:00,1007,0.777050013,0,0.092773124,0,855.6666632,11.71831372,-0.000313728,0,5,0,97.03125,10.31113724,14.99858822,0.999952896,128,28,41.35935912,13.96874464,511,741,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.437499376,0.01952941,1,1831,10600,1825,180.0,1,2,83,0,2.676,1.888,-15.00234138,40,48,0.277343608,0.214843024,12.93721958,0.888668872,14.97128136,0.224608616,0,2023-04-17 14:16:19.022000+08:00,0.565811075,0.565432469,0.424754181,0.448767229,0.487880895,0.593089769,0.851285457,0.79053084,0.584575533,,2,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle
10,10,2023-04-17 14:16:19.100972032+08:00,1007,0.777050013,0,0.09765592,0,855.6666632,10.78082353,-0.937803924,0,5,0,97.03125,10.31113724,14.99858822,0.999952896,128,28,41.32810913,13.96874464,507,734,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.433593127,0.01952941,1,1875,10600,1825,180.0,1,2,83,0,2.664,1.888,-15.00234138,40,48,0.277343608,0.214843024,12.99971762,0.883786076,15.33105,0.224608616,0,2023-04-17 14:16:19.268000+08:00,0.557310874,0.565432469,0.423820765,0.471358414,0.413567184,0.575961988,0.857122705,0.750001233,0.46081566,,2,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle
15,15,2023-04-17 14:16:19.100972032+08:00,1007,0.777050013,0,0.09765592,0,855.6666632,10.78082353,-0.937803924,0,5,0,97.03125,10.31113724,14.99858822,0.999952896,128,28,41.32810913,13.96874464,507,734,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.433593127,0.01952941,1,1875,10600,1825,180.0,1,2,83,0,2.664,1.888,-15.00234138,40,48,0.277343608,0.214843024,12.99971762,0.883786076,15.33105,0.224608616,0,2023-04-17 14:16:19.537000+08:00,0.576424673,0.562965569,0.419126723,0.429403999,0.518742212,0.586343626,0.851418568,0.816661464,0.641596523,,1,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle
20,20,2023-04-17 14:16:19.551589888+08:00,1007,0.777050013,0,0.09765592,0,855.6666632,11.71831372,-0.000313728,0,5,0,97.03125,10.31113724,14.99858822,0.999952896,128,28,40.96873427,13.96874464,508,740,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.414061882,0.01952941,1,1829,10600,1825,180.0,1,2,83,0,2.692,1.872,-15.00234138,40,48,0.277343608,0.214843024,12.99971762,0.888668872,14.95492824,0.224608616,0,2023-04-17 14:16:19.790000+08:00,0.548825978,0.571294697,0.417723219,0.428328264,0.560884637,0.636351724,0.839079148,0.848424226,0.704575876,,1,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle
25,25,2023-04-17 14:16:19.551589888+08:00,1007,0.777050013,0,0.09765592,0,855.6666632,11.71831372,-0.000313728,0,5,0,97.03125,10.31113724,14.99858822,0.999952896,128,28,40.96873427,13.96874464,508,740,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.414061882,0.01952941,1,1829,10600,1825,180.0,1,2,83,0,2.692,1.872,-15.00234138,40,48,0.277343608,0.214843024,12.99971762,0.888668872,14.95492824,0.224608616,0,2023-04-17 14:16:20.047000+08:00,0.604023368,0.571913596,0.421006997,0.413357087,0.527039791,0.631603065,0.847673482,0.822314744,0.652137633,,1,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle
30,30,2023-04-17 14:16:20.001012992+08:00,1007,0.777050013,0,0.092773124,0,855.6666632,11.71831372,-0.000313728,0,5,0,97.03125,10.31113724,14.99858822,0.999952896,128,28,41.24998416,13.96874464,509,739,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.429686878,0.01952941,1,1844,10600,1825,180.0,1,2,83,0,2.72,1.884,-15.00234138,40,48,0.277343608,0.214843024,13.12471369,0.874020484,15.07757664,0.224608616,0,2023-04-17 14:16:20.304000+08:00,0.606152245,0.575308923,0.426627773,0.450381394,0.464807945,0.615490372,0.849305242,0.76937281,0.546691458,,2,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle
35,35,2023-04-17 14:16:20.451576064+08:00,1007,0.777050013,0,0.092773124,0,855.6666632,11.71831372,-0.000313728,0,5,0,97.03125,10.31113724,14.99858822,0.999952896,128,28,40.93748428,13.96874464,508,740,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.410155633,0.01952941,1,1826,10600,1825,180.0,1,2,83,0,2.68,1.868,-15.00234138,40,48,0.277343608,0.214843024,13.12471369,0.888668872,14.93039856,0.224608616,0,2023-04-17 14:16:20.558000+08:00,0.595538473,0.55154179,0.425224269,0.457283621,0.439551309,0.592533187,0.854866773,0.757397591,0.503992413,,2,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle
40,40,2023-04-17 14:16:20.451576064+08:00,1007,0.777050013,0,0.092773124,0,855.6666632,11.71831372,-0.000313728,0,5,0,97.03125,10.31113724,14.99858822,0.999952896,128,28,40.93748428,13.96874464,508,740,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.410155633,0.01952941,1,1826,10600,1825,180.0,1,2,83,0,2.68,1.868,-15.00234138,40,48,0.277343608,0.214843024,13.12471369,0.888668872,14.93039856,0.224608616,0,2023-04-17 14:16:20.809000+08:00,0.616765843,0.556480042,0.421006997,0.402778714,0.521726349,0.575274228,0.858976485,0.815904173,0.643371644,,1,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle
45,45,2023-04-17 14:16:20.901048064+08:00,1007,0.777050013,0,0.09765592,0,855.6666632,11.71831372,-0.000313728,0,5,0,96.5625,10.31113724,14.99858822,0.999952896,128,28,40.99998426,13.96874464,509,742,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.414061882,0.01952941,1,1820,10600,1824,180.0,1,2,84,0,2.884,1.872,-15.00234138,40,48,0.277343608,0.214843024,12.93721958,0.869137688,14.8813392,0.224608616,0,2023-04-17 14:16:21.055000+08:00,0.590231587,0.554632041,0.423820765,0.379381758,0.51190022,0.569706906,0.873574904,0.811801554,0.627398217,,1,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle
