,,,,,Accuracy,MAE,Recall,F1
0, imu_data,0,-100,4836,0.819791667,0.3140625,0.485228147,0.530705169
0, imu_data,1,-100,4836,0.58125,0.706770833,0.534857995,0.480273229
0, imu_data,2,-100,4836,0.7640625,0.424479167,0.509102853,0.540277988
0, imu_data,3,-100,4836,0.690104167,0.511458333,0.439955789,0.445623769
0, imu_data,4,-100,4836,0.840104167,0.3078125,0.411175999,0.445449851
0, imu_data,5,-100,4836,0.653645833,0.554166667,0.546688443,0.542115292
0, imu_data,6,-100,4836,0.789583333,0.3953125,0.3615454,0.40036978
0, imu_data,7,-100,4836,0.725,0.468229167,0.508670067,0.540013815
0, imu_data,8,-100,4836,0.841145833,0.3,0.441115612,0.446219441
0, imu_data,9,-100,4836,0.770833333,0.395833333,0.570733935,0.589809101
,,,,,,,,
,,,Mean Accuracy,,Mean Recall,,Mean F1,
,,,0.7476,,0.4809,,0.4961,
