,Atmospheric Pressure,Inclination Switch,Fault Code Count,Ignition Coil Current Diagnosis,Fault Light Mileage,Engine Operating Time,Ignition Advance Angle,Idling Correction Ignition Angle,Fuel Injection Prohibition Mode,Injection Mode,Bypass Delay Correction,ABV Opening,ABV Idling Correction,ABV Learning Value,Lambda Setting,Air-Fuel Ratio Rich,Closed Loop Control,Air Flow,Throttle Valve Air Flow,Intake Manifold Pressure,Intake Manifold Front Pressure,MFF_AD_ADD_MMV_REL,MFF_AD_FAC_MMV_REL,MFF_AD_ADD_MMV,MFF_AD_FAC_MMV,Fuel Injection Quantity,MFF_WUP_COR,Ignition Mode,Engine RPM,Engine RPM Limit,Idling Target RPM,Fuel Injection Start Angle,Fuel Pump State,Engine State,Engine Temperature,Water Temperature PWM,Ignition Magnetization Time,Fuel Injection Time,Closed Loop Fuel Correction,Intake Temperature,Combustion Chamber Intake Temperature,TPS Opening,TPS Idling Learning Value,Battery Voltage,O2 Voltage,Vehicle Speed,TPS Voltage,Seat Switch State,X-axis Angular Velocity,Y-axis Angular Velocity,Z-axis Angular Velocity,X-axis Acceleration,Y-axis Acceleration,Z-axis Acceleration,X-axis Angle,Y-axis Angle,Z-axis Angle
0,1007,0.777050013,0,0.092773124,0,855.6666632,11.71831372,-0.000313728,0,5,0,97.03125,10.31113724,14.99858822,0.999952896,128,28,41.35935912,13.96874464,511,741,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.437499376,0.01952941,1,1831,10600,1825,180.0,1,2,83,0,2.676,1.888,-15.00234138,40,48,0.277343608,0.214843024,12.93721958,0.888668872,14.97128136,0.224608616,0,-0.21332,-0.92759,0.1836,-3.58173,-0.35434,9.06445,-2.08212,84.4841,50.20447
5,1007,0.777050013,0,0.092773124,0,855.6666632,11.71831372,-0.000313728,0,5,0,97.03125,10.31113724,14.99858822,0.999952896,128,28,41.35935912,13.96874464,511,741,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.437499376,0.01952941,1,1831,10600,1825,180.0,1,2,83,0,2.676,1.888,-15.00234138,40,48,0.277343608,0.214843024,12.93721958,0.888668872,14.97128136,0.224608616,0,-1.37259,0.53767,0.24479,-2.78447,-0.76375,9.48103,-4.41966,74.88847,51.58842
10,1007,0.777050013,0,0.09765592,0,855.6666632,10.78082353,-0.937803924,0,5,0,97.03125,10.31113724,14.99858822,0.999952896,128,28,41.32810913,13.96874464,507,734,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.433593127,0.01952941,1,1875,10600,1825,180.0,1,2,83,0,2.664,1.888,-15.00234138,40,48,0.277343608,0.214843024,12.99971762,0.883786076,15.33105,0.224608616,0,-1.86131,0.53767,0.12327,-2.18112,-3.20822,8.22887,-20.64944,35.71311,45.55313
15,1007,0.777050013,0,0.09765592,0,855.6666632,10.78082353,-0.937803924,0,5,0,97.03125,10.31113724,14.99858822,0.999952896,128,28,41.32810913,13.96874464,507,734,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.433593127,0.01952941,1,1875,10600,1825,180.0,1,2,83,0,2.664,1.888,-15.00234138,40,48,0.277343608,0.214843024,12.99971762,0.883786076,15.33105,0.224608616,0,-0.76236,0.04983,-0.48784,-3.30161,0.2514,8.98784,1.50401,94.2644,53.34373
20,1007,0.777050013,0,0.09765592,0,855.6666632,11.71831372,-0.000313728,0,5,0,97.03125,10.31113724,14.99858822,0.999952896,128,28,40.96873427,13.96874464,508,740,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.414061882,0.01952941,1,1829,10600,1825,180.0,1,2,83,0,2.692,1.872,-15.00234138,40,48,0.277343608,0.214843024,12.99971762,0.888668872,14.95492824,0.224608616,0,-2.34915,1.69695,-0.67056,-3.33034,1.63763,12.64378,7.13907,115.81747,59.78419
25,1007,0.777050013,0,0.09765592,0,855.6666632,11.71831372,-0.000313728,0,5,0,97.03125,10.31113724,14.99858822,0.999952896,128,28,40.96873427,13.96874464,508,740,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.414061882,0.01952941,1,1829,10600,1825,180.0,1,2,83,0,2.692,1.872,-15.00234138,40,48,0.277343608,0.214843024,12.99971762,0.888668872,14.95492824,0.224608616,0,0.82443,1.81934,-0.24305,-3.73018,0.52434,12.29662,2.33664,97.88339,55.02736
30,1007,0.777050013,0,0.092773124,0,855.6666632,11.71831372,-0.000313728,0,5,0,97.03125,10.31113724,14.99858822,0.999952896,128,28,41.24998416,13.96874464,509,739,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.429686878,0.01952941,1,1844,10600,1825,180.0,1,2,83,0,2.72,1.884,-15.00234138,40,48,0.277343608,0.214843024,13.12471369,0.874020484,15.07757664,0.224608616,0,0.94683,2.49078,0.48871,-2.74136,-1.52271,11.11867,-7.5741,61.3278,51.10831
35,1007,0.777050013,0,0.092773124,0,855.6666632,11.71831372,-0.000313728,0,5,0,97.03125,10.31113724,14.99858822,0.999952896,128,28,40.93748428,13.96874464,508,740,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.410155633,0.01952941,1,1826,10600,1825,180.0,1,2,83,0,2.68,1.868,-15.00234138,40,48,0.277343608,0.214843024,13.12471369,0.888668872,14.93039856,0.224608616,0,0.33659,-2.20927,0.30599,-2.55702,-2.3535,9.44034,-13.52995,48.24348,47.74432
40,1007,0.777050013,0,0.092773124,0,855.6666632,11.71831372,-0.000313728,0,5,0,97.03125,10.31113724,14.99858822,0.999952896,128,28,40.93748428,13.96874464,508,740,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.410155633,0.01952941,1,1826,10600,1825,180.0,1,2,83,0,2.68,1.868,-15.00234138,40,48,0.277343608,0.214843024,13.12471369,0.888668872,14.93039856,0.224608616,0,1.55706,-1.23271,-0.24305,-4.0127,0.34956,8.17859,2.19745,94.80632,50.67484
45,1007,0.777050013,0,0.09765592,0,855.6666632,11.71831372,-0.000313728,0,5,0,96.5625,10.31113724,14.99858822,0.999952896,128,28,40.99998426,13.96874464,509,742,-3.28e-05,-1.64e-05,-3.28e-05,-1.64e-05,2.414061882,0.01952941,1,1820,10600,1824,180.0,1,2,84,0,2.884,1.872,-15.00234138,40,48,0.277343608,0.214843024,12.93721958,0.869137688,14.8813392,0.224608616,0,0.03147,-1.59816,0.12327,-4.63757,0.02634,7.77158,0.16673,90.3099,44.90018
