,Atmospheric Pressure,Inclination Switch,Fault Code Count,Ignition Coil Current Diagnosis,Fault Light Mileage,Engine Operating Time,Ignition Advance Angle,Idling Correction Ignition Angle,Fuel Injection Prohibition Mode,Injection Mode,Bypass Delay Correction,ABV Opening,ABV Idling Correction,ABV Learning Value,Lambda Setting,Air-Fuel Ratio Rich,Closed Loop Control,Air Flow,Throttle Valve Air Flow,Intake Manifold Pressure,Intake Manifold Front Pressure,MFF_AD_ADD_MMV_REL,MFF_AD_FAC_MMV_REL,MFF_AD_ADD_MMV,MFF_AD_FAC_MMV,Fuel Injection Quantity,MFF_WUP_COR,Ignition Mode,Engine RPM,Engine RPM Limit,Idling Target RPM,Fuel Injection Start Angle,Fuel Pump State,Engine State,Engine Temperature,Water Temperature PWM,Ignition Magnetization Time,Fuel Injection Time,Closed Loop Fuel Correction,Intake Temperature,Combustion Chamber Intake Temperature,TPS Opening,TPS Idling Learning Value,Battery Voltage,O2 Voltage,Vehicle Speed,TPS Voltage,Seat Switch State,X-axis Angular Velocity,Y-axis Angular Velocity,Z-axis Angular Velocity,X-axis Acceleration,Y-axis Acceleration,Z-axis Acceleration,X-axis Angle,Y-axis Angle,Z-axis Angle
0,0.8571428571428612,0.0,0.0,0.7333333333333333,0.0,0.0,0.1547619047111105,0.5,0.0,0.0,0.0,0.9857142857142858,0.8636363635261697,0.0,0.0,1.0,1.0,0.3333960135228797,0.0180967873644401,0.5305466237942122,0.6299319727891155,0.0,0.0,0.0,0.0,0.3519798868636077,1.0,0.0,0.0276174773289364,0.0,0.0498007968127489,1.0000000000000002,0.0,0.0,0.0,0.0,0.7135278514588859,0.3518672199170124,0.0,0.0,0.2000000000000001,0.00305810397567,0.0,0.5294117652595336,0.9627659574468084,0.0276174773289365,0.0030674846625767,0.0,0.5859740071807846,0.5580229678066493,0.4242841702599839,0.4189154883380287,0.500327264027132,0.587391542474205,0.4664372989219369,0.7347493641134364,0.1393818177536562
5,0.8571428571428612,0.0,0.0,0.7333333333333333,0.0,0.0,0.1547619047111105,0.5,0.0,0.0,0.0,0.9857142857142858,0.8636363635261697,0.0,0.0,1.0,1.0,0.3333960135228797,0.0180967873644401,0.5305466237942122,0.6299319727891155,0.0,0.0,0.0,0.0,0.3519798868636077,1.0,0.0,0.0276174773289364,0.0,0.0498007968127489,1.0000000000000002,0.0,0.0,0.0,0.0,0.7135278514588859,0.3518672199170124,0.0,0.0,0.2000000000000001,0.00305810397567,0.0,0.5294117652595336,0.9627659574468084,0.0276174773289365,0.0030674846625767,0.0,0.5658110750636011,0.5654324694713169,0.4247541813047442,0.4487672293588424,0.4878808947425862,0.5930897687443166,0.4526012459159926,0.7080879458402249,0.1432341242287349
10,0.8571428571428612,0.0,0.0,0.7999999999999997,0.0,0.0,0.1309523810539692,0.4166666666666667,0.0,0.0,0.0,0.9857142857142858,0.8636363635261697,0.0,0.0,1.0,1.0,0.333019932265255,0.0180967873644401,0.5241157556270096,0.620408163265306,0.0,0.0,0.0,0.0,0.3513513513513513,1.0,0.0,0.0366859027205275,0.0,0.0498007968127489,1.0000000000000002,0.0,0.0,0.0,0.0,0.7055702917771884,0.3518672199170124,0.0,0.0,0.2000000000000001,0.00305810397567,0.0,0.588235295778599,0.957446808510638,0.0366859027205275,0.0030674846625767,0.0,0.5573108739160599,0.5654324694713169,0.4238207650249718,0.471358414097708,0.4135671839758885,0.5759619877505507,0.3565361106221305,0.5992393700860912,0.1264345384445823
15,0.8571428571428612,0.0,0.0,0.7999999999999997,0.0,0.0,0.1309523810539692,0.4166666666666667,0.0,0.0,0.0,0.9857142857142858,0.8636363635261697,0.0,0.0,1.0,1.0,0.333019932265255,0.0180967873644401,0.5241157556270096,0.620408163265306,0.0,0.0,0.0,0.0,0.3513513513513513,1.0,0.0,0.0366859027205275,0.0,0.0498007968127489,1.0000000000000002,0.0,0.0,0.0,0.0,0.7055702917771884,0.3518672199170124,0.0,0.0,0.2000000000000001,0.00305810397567,0.0,0.588235295778599,0.957446808510638,0.0366859027205275,0.0030674846625767,0.0,0.5764246733330887,0.5629655685171576,0.4191267227049285,0.429403998604128,0.5187422117089688,0.5863436258326157,0.4876638382608175,0.7619238872179632,0.1481201331732564
20,0.8571428571428612,0.0,0.0,0.7999999999999997,0.0,0.0,0.1547619047111105,0.5,0.0,0.0,0.0,0.9857142857142858,0.8636363635261697,0.0,0.0,1.0,1.0,0.3286949981034359,0.0180967873644401,0.5257234726688103,0.6285714285714286,0.0,0.0,0.0,0.0,0.3482086737900691,1.0,0.0,0.0272052761747732,0.0,0.0498007968127489,1.0000000000000002,0.0,0.0,0.0,0.0,0.7241379310344829,0.3485477178423237,0.0,0.0,0.2000000000000001,0.00305810397567,0.0,0.588235295778599,0.9627659574468084,0.0272052761747732,0.0030674846625767,0.0,0.5488259784179906,0.5712946967141379,0.4177232185686546,0.4283282635621994,0.5608846373783856,0.6363517235568269,0.5210181290330295,0.8218090030823522,0.1660475335565692
25,0.8571428571428612,0.0,0.0,0.7999999999999997,0.0,0.0,0.1547619047111105,0.5,0.0,0.0,0.0,0.9857142857142858,0.8636363635261697,0.0,0.0,1.0,1.0,0.3286949981034359,0.0180967873644401,0.5257234726688103,0.6285714285714286,0.0,0.0,0.0,0.0,0.3482086737900691,1.0,0.0,0.0272052761747732,0.0,0.0498007968127489,1.0000000000000002,0.0,0.0,0.0,0.0,0.7241379310344829,0.3485477178423237,0.0,0.0,0.2000000000000001,0.00305810397567,0.0,0.588235295778599,0.9627659574468084,0.0272052761747732,0.0030674846625767,0.0,0.6040233682481867,0.5719135963693108,0.4210069973191934,0.4133570871206845,0.5270397912319993,0.6316030648791853,0.4925922299950079,0.7719792359669844,0.1528066166088118
30,0.8571428571428612,0.0,0.0,0.7333333333333333,0.0,0.0,0.1547619047111105,0.5,0.0,0.0,0.0,0.9857142857142858,0.8636363635261697,0.0,0.0,1.0,1.0,0.3320797291813662,0.0180967873644401,0.527331189710611,0.6272108843537414,0.0,0.0,0.0,0.0,0.3507228158390949,1.0,0.0,0.0302967848309975,0.0,0.0498007968127489,1.0000000000000002,0.0,0.0,0.0,0.0,0.7427055702917773,0.3510373443983402,0.0,0.0,0.2000000000000001,0.00305810397567,0.0,0.7058823474046712,0.9468085106382976,0.0302967848309975,0.0030674846625767,0.0,0.6061522449474399,0.5753089226579725,0.4266277732975195,0.4503813935655094,0.4648079448092703,0.6154903719153416,0.43392990808046,0.6704096803240482,0.1418977097182757
35,0.8571428571428612,0.0,0.0,0.7333333333333333,0.0,0.0,0.1547619047111105,0.5,0.0,0.0,0.0,0.9857142857142858,0.8636363635261697,0.0,0.0,1.0,1.0,0.3283189168458112,0.0180967873644401,0.5257234726688103,0.6285714285714286,0.0,0.0,0.0,0.0,0.3475801382778127,1.0,0.0,0.0265869744435284,0.0,0.0498007968127489,1.0000000000000002,0.0,0.0,0.0,0.0,0.7161803713527852,0.3477178423236515,0.0,0.0,0.2000000000000001,0.00305810397567,0.0,0.7058823474046712,0.9627659574468084,0.0265869744435284,0.0030674846625767,0.0,0.5955384727501174,0.5515417903408266,0.4252242691612457,0.4572836211196032,0.4395513093145148,0.5925331869906778,0.3986768401990748,0.6340549513129726,0.132533845085088
40,0.8571428571428612,0.0,0.0,0.7333333333333333,0.0,0.0,0.1547619047111105,0.5,0.0,0.0,0.0,0.9857142857142858,0.8636363635261697,0.0,0.0,1.0,1.0,0.3283189168458112,0.0180967873644401,0.5257234726688103,0.6285714285714286,0.0,0.0,0.0,0.0,0.3475801382778127,1.0,0.0,0.0265869744435284,0.0,0.0498007968127489,1.0000000000000002,0.0,0.0,0.0,0.0,0.7161803713527852,0.3477178423236515,0.0,0.0,0.2000000000000001,0.00305810397567,0.0,0.7058823474046712,0.9627659574468084,0.0265869744435284,0.0030674846625767,0.0,0.6167658432169275,0.5564800422180688,0.4210069973191934,0.4027787138507346,0.5217263489038859,0.5752742283361256,0.491768355230128,0.7634296096969061,0.1406911203994763
45,0.8571428571428612,0.0,0.0,0.7999999999999997,0.0,0.0,0.1547619047111105,0.5,0.0,0.0,0.0,0.9809523809523808,0.8636363635261697,0.0,0.0,1.0,1.0,0.3290710793610607,0.0180967873644401,0.527331189710611,0.6312925170068027,0.0,0.0,0.0,0.0,0.3482086737900691,1.0,0.0,0.0253503709810387,0.0,0.047808764940239,1.0000000000000002,0.0,0.0,0.0249999999999999,0.0,0.8514588859416443,0.3485477178423237,0.0,0.0,0.2000000000000001,0.00305810397567,0.0,0.5294117652595336,0.9414893617021276,0.0253503709810387,0.0030674846625767,0.0,0.5902315866514561,0.5546320409190825,0.4238207650249718,0.379381757510675,0.5119002198885935,0.5697069061550365,0.4797483899845146,0.7509363253214109,0.1246170135969341
