,Atmospheric Pressure,Inclination Switch,Fault Code Count,Ignition Coil Current Diagnosis,Fault Light Mileage,Engine Operating Time,Ignition Advance Angle,Idling Correction Ignition Angle,Fuel Injection Prohibition Mode,Injection Mode,Bypass Delay Correction,ABV Opening,ABV Idling Correction,ABV Learning Value,Lambda Setting,Air-Fuel Ratio Rich,Closed Loop Control,Air Flow,Throttle Valve Air Flow,Intake Manifold Pressure,Intake Manifold Front Pressure,MFF_AD_ADD_MMV_REL,MFF_AD_FAC_MMV_REL,MFF_AD_ADD_MMV,MFF_AD_FAC_MMV,Fuel Injection Quantity,MFF_WUP_COR,Ignition Mode,Engine RPM,Engine RPM Limit,Idling Target RPM,Fuel Injection Start Angle,Fuel Pump State,Engine State,Engine Temperature,Water Temperature PWM,Ignition Magnetization Time,Fuel Injection Time,Closed Loop Fuel Correction,Intake Temperature,Combustion Chamber Intake Temperature,TPS Opening,TPS Idling Learning Value,Battery Voltage,O2 Voltage,Vehicle Speed,TPS Voltage,Seat Switch State,X-axis Angular Velocity,Y-axis Angular Velocity,Z-axis Angular Velocity,X-axis Acceleration,Y-axis Acceleration,Z-axis Acceleration,X-axis Angle,Y-axis Angle,Z-axis Angle
0,0.8571428571428612,0.0,0.0,0.7333333333333333,0.0,0.0,0.1547619047111105,0.5,0.0,0.0,0.0,0.9857142857142858,0.8636363635261697,0.0,0.0,1.0,1.0,0.3333960135228797,0.0180967873644401,0.5305466237942122,0.6299319727891155,0.0,0.0,0.0,0.0,0.3519798868636077,1.0,0.0,0.0276174773289364,0.0,0.0498007968127489,1.0000000000000002,0.0,0.0,0.0,0.0,0.7135278514588859,0.3518672199170124,0.0,0.0,0.2000000000000001,0.00305810397567,0.0,0.5294117652595336,0.9627659574468084,0.0276174773289365,0.0030674846625767,0.0,0.5885963700410545,0.6204624413267625,0.4117576302335124,0.4177399540556007,0.4917318024114817,0.6820654498868097,0.4178928844600637,0.7692076197008176,0.120195949800631
5,0.8571428571428612,0.0,0.0,0.7333333333333333,0.0,0.0,0.1547619047111105,0.5,0.0,0.0,0.0,0.9857142857142858,0.8636363635261697,0.0,0.0,1.0,1.0,0.3333960135228797,0.0180967873644401,0.5305466237942122,0.6299319727891155,0.0,0.0,0.0,0.0,0.3519798868636077,1.0,0.0,0.0276174773289364,0.0,0.0498007968127489,1.0000000000000002,0.0,0.0,0.0,0.0,0.7135278514588859,0.3518672199170124,0.0,0.0,0.2000000000000001,0.00305810397567,0.0,0.5294117652595336,0.9627659574468084,0.0276174773289365,0.0030674846625767,0.0,0.5864118096781663,0.6404047611319049,0.4107561768407145,0.4635741169904454,0.4978251513952779,0.6840992571626298,0.4203321069946827,0.7659431957331257,0.1297522627222874
10,0.8571428571428612,0.0,0.0,0.7999999999999997,0.0,0.0,0.1309523810539692,0.4166666666666667,0.0,0.0,0.0,0.9857142857142858,0.8636363635261697,0.0,0.0,1.0,1.0,0.333019932265255,0.0180967873644401,0.5241157556270096,0.620408163265306,0.0,0.0,0.0,0.0,0.3513513513513513,1.0,0.0,0.0366859027205275,0.0,0.0498007968127489,1.0000000000000002,0.0,0.0,0.0,0.0,0.7055702917771884,0.3518672199170124,0.0,0.0,0.2000000000000001,0.00305810397567,0.0,0.588235295778599,0.957446808510638,0.0366859027205275,0.0030674846625767,0.0,0.576063013891436,0.6311474739620655,0.4112281369652948,0.4568249631074996,0.4526360486385167,0.6664605621097293,0.3658217298221004,0.715673506300908,0.1182825572488844
15,0.8571428571428612,0.0,0.0,0.7999999999999997,0.0,0.0,0.1309523810539692,0.4166666666666667,0.0,0.0,0.0,0.9857142857142858,0.8636363635261697,0.0,0.0,1.0,1.0,0.333019932265255,0.0180967873644401,0.5241157556270096,0.620408163265306,0.0,0.0,0.0,0.0,0.3513513513513513,1.0,0.0,0.0366859027205275,0.0,0.0498007968127489,1.0000000000000002,0.0,0.0,0.0,0.0,0.7055702917771884,0.3518672199170124,0.0,0.0,0.2000000000000001,0.00305810397567,0.0,0.588235295778599,0.957446808510638,0.0366859027205275,0.0030674846625767,0.0,0.5808538280612685,0.6421860943713994,0.4092168323938053,0.4483408447274073,0.4857549027468747,0.6785911755922417,0.4058371445751033,0.7514415423418688,0.1257151705411596
20,0.8571428571428612,0.0,0.0,0.7999999999999997,0.0,0.0,0.1547619047111105,0.5,0.0,0.0,0.0,0.9857142857142858,0.8636363635261697,0.0,0.0,1.0,1.0,0.3286949981034359,0.0180967873644401,0.5257234726688103,0.6285714285714286,0.0,0.0,0.0,0.0,0.3482086737900691,1.0,0.0,0.0272052761747732,0.0,0.0498007968127489,1.0000000000000002,0.0,0.0,0.0,0.0,0.7241379310344829,0.3485477178423237,0.0,0.0,0.2000000000000001,0.00305810397567,0.0,0.588235295778599,0.9627659574468084,0.0272052761747732,0.0030674846625767,0.0,0.5569744555649568,0.6457206855947002,0.4066252404415783,0.4503784258894658,0.4969357936644327,0.7155212129034827,0.4117027189495529,0.766546567684908,0.1265199904307311
25,0.8571428571428612,0.0,0.0,0.7999999999999997,0.0,0.0,0.1547619047111105,0.5,0.0,0.0,0.0,0.9857142857142858,0.8636363635261697,0.0,0.0,1.0,1.0,0.3286949981034359,0.0180967873644401,0.5257234726688103,0.6285714285714286,0.0,0.0,0.0,0.0,0.3482086737900691,1.0,0.0,0.0272052761747732,0.0,0.0498007968127489,1.0000000000000002,0.0,0.0,0.0,0.0,0.7241379310344829,0.3485477178423237,0.0,0.0,0.2000000000000001,0.00305810397567,0.0,0.588235295778599,0.9627659574468084,0.0272052761747732,0.0030674846625767,0.0,0.5680516812758,0.6627649887909338,0.4071320113570744,0.4259769405175384,0.491773307028202,0.7229014554834525,0.4076842569601643,0.7616305186786381,0.1212280633250811
30,0.8571428571428612,0.0,0.0,0.7333333333333333,0.0,0.0,0.1547619047111105,0.5,0.0,0.0,0.0,0.9857142857142858,0.8636363635261697,0.0,0.0,1.0,1.0,0.3320797291813662,0.0180967873644401,0.527331189710611,0.6272108843537414,0.0,0.0,0.0,0.0,0.3507228158390949,1.0,0.0,0.0302967848309975,0.0,0.0498007968127489,1.0000000000000002,0.0,0.0,0.0,0.0,0.7427055702917773,0.3510373443983402,0.0,0.0,0.2000000000000001,0.00305810397567,0.0,0.7058823474046712,0.9468085106382976,0.0302967848309975,0.0030674846625767,0.0,0.594886269246989,0.6576777987887759,0.4113675776037607,0.4852179527868192,0.4564102311151698,0.7082536158506466,0.3744819733161536,0.708355714481179,0.1179887982597592
35,0.8571428571428612,0.0,0.0,0.7333333333333333,0.0,0.0,0.1547619047111105,0.5,0.0,0.0,0.0,0.9857142857142858,0.8636363635261697,0.0,0.0,1.0,1.0,0.3283189168458112,0.0180967873644401,0.5257234726688103,0.6285714285714286,0.0,0.0,0.0,0.0,0.3475801382778127,1.0,0.0,0.0265869744435284,0.0,0.0498007968127489,1.0000000000000002,0.0,0.0,0.0,0.0,0.7161803713527852,0.3477178423236515,0.0,0.0,0.2000000000000001,0.00305810397567,0.0,0.7058823474046712,0.9627659574468084,0.0265869744435284,0.0030674846625767,0.0,0.5979907240233501,0.6301136429321087,0.4126572763464255,0.4723814662339832,0.4587668970722002,0.7047774268241664,0.3745036727927607,0.7198448544559801,0.1207471948673747
40,0.8571428571428612,0.0,0.0,0.7333333333333333,0.0,0.0,0.1547619047111105,0.5,0.0,0.0,0.0,0.9857142857142858,0.8636363635261697,0.0,0.0,1.0,1.0,0.3283189168458112,0.0180967873644401,0.5257234726688103,0.6285714285714286,0.0,0.0,0.0,0.0,0.3475801382778127,1.0,0.0,0.0265869744435284,0.0,0.0498007968127489,1.0000000000000002,0.0,0.0,0.0,0.0,0.7161803713527852,0.3477178423236515,0.0,0.0,0.2000000000000001,0.00305810397567,0.0,0.7058823474046712,0.9627659574468084,0.0265869744435284,0.0030674846625767,0.0,0.6108107095596313,0.6244849122289858,0.4103943591846786,0.4527925007404843,0.5004674553369004,0.6979744411498082,0.4293683892456363,0.7680621413359668,0.1298710916811722
45,0.8571428571428612,0.0,0.0,0.7999999999999997,0.0,0.0,0.1547619047111105,0.5,0.0,0.0,0.0,0.9809523809523808,0.8636363635261697,0.0,0.0,1.0,1.0,0.3290710793610607,0.0180967873644401,0.527331189710611,0.6312925170068027,0.0,0.0,0.0,0.0,0.3482086737900691,1.0,0.0,0.0253503709810387,0.0,0.047808764940239,1.0000000000000002,0.0,0.0,0.0249999999999999,0.0,0.8514588859416443,0.3485477178423237,0.0,0.0,0.2000000000000001,0.00305810397567,0.0,0.5294117652595336,0.9414893617021276,0.0253503709810387,0.0030674846625767,0.0,0.6028068146152025,0.61943854542589,0.4099351297895324,0.3937984895011063,0.5014610712910922,0.6922813706110007,0.4296192853992832,0.7763048413086937,0.1166589911592679
50,0.8571428571428612,0.0,0.0,0.7999999999999997,0.0,0.0,0.1547619047111105,0.5,0.0,0.0,0.0,0.9809523809523808,0.8636363635261697,0.0,0.0,1.0,1.0,0.3290710793610607,0.0180967873644401,0.527331189710611,0.6312925170068027,0.0,0.0,0.0,0.0,0.3482086737900691,1.0,0.0,0.0253503709810387,0.0,0.047808764940239,1.0000000000000002,0.0,0.0,0.0249999999999999,0.0,0.8514588859416443,0.3485477178423237,0.0,0.0,0.2000000000000001,0.00305810397567,0.0,0.5294117652595336,0.9414893617021276,0.0253503709810387,0.0030674846625767,0.0,0.5947190347677657,0.6352994056616591,0.4101140849742875,0.4510315905577589,0.5022025795943472,0.6659353565169193,0.4272357515031756,0.7716554681528535,0.1215622231570036
55,0.8571428571428612,0.0,0.0,0.7999999999999997,0.0,0.0,0.1428571427555545,0.4583333333333333,0.0,0.0,0.0,0.9809523809523808,0.8636363635261697,0.0,0.0,1.0,1.0,0.3262504701093944,0.0180967873644401,0.5209003215434084,0.6244897959183673,0.0,0.0,0.0,0.0,0.3463230672532998,1.0,0.0,0.0302967848309975,0.0,0.047808764940239,1.0000000000000002,0.0,0.0,0.0249999999999999,0.0,0.8090185676392572,0.346058091286307,0.0,0.0,0.2000000000000001,0.00305810397567,0.0,0.6470588262976644,0.952127659574468,0.0302967848309975,0.0030674846625767,0.0,0.5878799435299595,0.6553377351680301,0.4107078982530382,0.4172854420641254,0.5309961522495688,0.6977574960518758,0.4552710514464749,0.8060105296723141,0.1251876607640424
60,0.8571428571428612,0.0,0.0,0.7999999999999997,0.0,0.0,0.1428571427555545,0.4583333333333333,0.0,0.0,0.0,0.9809523809523808,0.8636363635261697,0.0,0.0,1.0,1.0,0.3262504701093944,0.0180967873644401,0.5209003215434084,0.6244897959183673,0.0,0.0,0.0,0.0,0.3463230672532998,1.0,0.0,0.0302967848309975,0.0,0.047808764940239,1.0000000000000002,0.0,0.0,0.0249999999999999,0.0,0.8090185676392572,0.346058091286307,0.0,0.0,0.2000000000000001,0.00305810397567,0.0,0.6470588262976644,0.952127659574468,0.0302967848309975,0.0030674846625767,0.0,0.5823793778906204,0.6290531253664484,0.4100497674399879,0.5292869156057485,0.520184630140426,0.7211106871561487,0.4475619260038352,0.8166336522108512,0.1414303540233356
65,0.8571428571428612,0.0,0.0,0.7333333333333333,0.0,0.0,0.1547619047111105,0.5,0.0,0.0,0.0,0.9809523809523808,0.8636363635261697,0.0,0.0,1.0,1.0,0.3303873635822281,0.0180967873644401,0.527331189710611,0.6326530612244896,0.0,0.0,0.0,0.0,0.349465744814582,1.0,0.0,0.0276174773289364,0.0,0.047808764940239,1.0000000000000002,0.0,0.0,0.0249999999999999,0.0,0.7559681697612732,0.3493775933609958,0.0,0.0,0.2000000000000001,0.00305810397567,0.0,0.7058823474046712,0.952127659574468,0.0276174773289365,0.0030674846625767,0.0,0.6036762541083702,0.628545028666118,0.4097261708698775,0.4997286464565929,0.4841811350072845,0.6916785170206723,0.4062043040032972,0.747622360371643,0.124440927243288
