,Atmospheric Pressure,Inclination Switch,Fault Code Count,Ignition Coil Current Diagnosis,Fault Light Mileage,Engine Operating Time,Ignition Advance Angle,Idling Correction Ignition Angle,Fuel Injection Prohibition Mode,Injection Mode,Bypass Delay Correction,ABV Opening,ABV Idling Correction,ABV Learning Value,Lambda Setting,Air-Fuel Ratio Rich,Closed Loop Control,Air Flow,Throttle Valve Air Flow,Intake Manifold Pressure,Intake Manifold Front Pressure,MFF_AD_ADD_MMV_REL,MFF_AD_FAC_MMV_REL,MFF_AD_ADD_MMV,MFF_AD_FAC_MMV,Fuel Injection Quantity,MFF_WUP_COR,Ignition Mode,Engine RPM,Engine RPM Limit,Idling Target RPM,Fuel Injection Start Angle,Fuel Pump State,Engine State,Engine Temperature,Water Temperature PWM,Ignition Magnetization Time,Fuel Injection Time,Closed Loop Fuel Correction,Intake Temperature,Combustion Chamber Intake Temperature,TPS Opening,TPS Idling Learning Value,Battery Voltage,O2 Voltage,Vehicle Speed,TPS Voltage,Seat Switch State,X-axis Angular Velocity,Y-axis Angular Velocity,Z-axis Angular Velocity,X-axis Acceleration,Y-axis Acceleration,Z-axis Acceleration,X-axis Angle,Y-axis Angle,Z-axis Angle
0,0.8571428571428612,0.0,0.0,0.7333333333333333,0.0,0.0,0.1547619047111105,0.5,0.0,0.0,0.0,0.9857142857142858,0.8636363635261697,0.0,0.0,1.0,1.0,0.3333960135228797,0.0180967873644401,0.5305466237942122,0.6299319727891155,0.0,0.0,0.0,0.0,0.3519798868636077,1.0,0.0,0.0276174773289364,0.0,0.0498007968127489,1.0000000000000002,0.0,0.0,0.0,0.0,0.7135278514588859,0.3518672199170124,0.0,0.0,0.2000000000000001,0.00305810397567,0.0,0.5294117652595336,0.9627659574468084,0.0276174773289365,0.0030674846625767,0.0,0.5853886770367623,0.5574655579896414,0.4238603522894915,0.418497033150397,0.4998274865183646,0.5868047963524647,0.8565819436376874,0.8044158291141077,0.6104684308570218
5,0.8571428571428612,0.0,0.0,0.7333333333333333,0.0,0.0,0.1547619047111105,0.5,0.0,0.0,0.0,0.9857142857142858,0.8636363635261697,0.0,0.0,1.0,1.0,0.3333960135228797,0.0180967873644401,0.5305466237942122,0.6299319727891155,0.0,0.0,0.0,0.0,0.3519798868636077,1.0,0.0,0.0276174773289364,0.0,0.0498007968127489,1.0000000000000002,0.0,0.0,0.0,0.0,0.7135278514588859,0.3518672199170124,0.0,0.0,0.2000000000000001,0.00305810397567,0.0,0.5294117652595336,0.9627659574468084,0.0276174773289365,0.0030674846625767,0.0,0.5841070429286834,0.5632052072677394,0.4233700610407056,0.4408846176786492,0.5036915793933859,0.5878180838900854,0.8513327658739058,0.8023401336049983,0.6097724404018628
10,0.8571428571428612,0.0,0.0,0.7999999999999997,0.0,0.0,0.1309523810539692,0.4166666666666667,0.0,0.0,0.0,0.9857142857142858,0.8636363635261697,0.0,0.0,1.0,1.0,0.333019932265255,0.0180967873644401,0.5241157556270096,0.620408163265306,0.0,0.0,0.0,0.0,0.3513513513513513,1.0,0.0,0.0366859027205275,0.0,0.0498007968127489,1.0000000000000002,0.0,0.0,0.0,0.0,0.7055702917771884,0.3518672199170124,0.0,0.0,0.2000000000000001,0.00305810397567,0.0,0.588235295778599,0.957446808510638,0.0366859027205275,0.0030674846625767,0.0,0.5755683321797322,0.5608203351129752,0.4238138491725674,0.4377049526113334,0.4784862586373957,0.582683357546568,0.8550001862530752,0.786147395129483,0.5681137609235987
15,0.8571428571428612,0.0,0.0,0.7999999999999997,0.0,0.0,0.1309523810539692,0.4166666666666667,0.0,0.0,0.0,0.9857142857142858,0.8636363635261697,0.0,0.0,1.0,1.0,0.333019932265255,0.0180967873644401,0.5241157556270096,0.620408163265306,0.0,0.0,0.0,0.0,0.3513513513513513,1.0,0.0,0.0366859027205275,0.0,0.0498007968127489,1.0000000000000002,0.0,0.0,0.0,0.0,0.7055702917771884,0.3518672199170124,0.0,0.0,0.2000000000000001,0.00305810397567,0.0,0.588235295778599,0.957446808510638,0.0366859027205275,0.0030674846625767,0.0,0.579552125787236,0.5637260393528406,0.42207160121442,0.4336618220471324,0.4969968059250815,0.5862471798310419,0.8529362081902768,0.7973980137125721,0.5979363686484408
20,0.8571428571428612,0.0,0.0,0.7999999999999997,0.0,0.0,0.1547619047111105,0.5,0.0,0.0,0.0,0.9857142857142858,0.8636363635261697,0.0,0.0,1.0,1.0,0.3286949981034359,0.0180967873644401,0.5257234726688103,0.6285714285714286,0.0,0.0,0.0,0.0,0.3482086737900691,1.0,0.0,0.0272052761747732,0.0,0.0498007968127489,1.0000000000000002,0.0,0.0,0.0,0.0,0.7241379310344829,0.3485477178423237,0.0,0.0,0.2000000000000001,0.00305810397567,0.0,0.588235295778599,0.9627659574468084,0.0272052761747732,0.0030674846625767,0.0,0.5597439596878373,0.5646554378974444,0.4198194173391356,0.434636768782464,0.5032448846752218,0.5970758491796724,0.853356128500214,0.8049978877671783,0.6085784404028127
25,0.8571428571428612,0.0,0.0,0.7999999999999997,0.0,0.0,0.1547619047111105,0.5,0.0,0.0,0.0,0.9857142857142858,0.8636363635261697,0.0,0.0,1.0,1.0,0.3286949981034359,0.0180967873644401,0.5257234726688103,0.6285714285714286,0.0,0.0,0.0,0.0,0.3482086737900691,1.0,0.0,0.0272052761747732,0.0,0.0498007968127489,1.0000000000000002,0.0,0.0,0.0,0.0,0.7241379310344829,0.3485477178423237,0.0,0.0,0.2000000000000001,0.00305810397567,0.0,0.588235295778599,0.9627659574468084,0.0272052761747732,0.0030674846625767,0.0,0.5689339251255416,0.5691285870091866,0.4202603790539912,0.4229832515245965,0.5003611207287483,0.5992399036874139,0.8563403990191236,0.8030838898775896,0.604441720548515
30,0.8571428571428612,0.0,0.0,0.7333333333333333,0.0,0.0,0.1547619047111105,0.5,0.0,0.0,0.0,0.9857142857142858,0.8636363635261697,0.0,0.0,1.0,1.0,0.3320797291813662,0.0180967873644401,0.527331189710611,0.6272108843537414,0.0,0.0,0.0,0.0,0.3507228158390949,1.0,0.0,0.0302967848309975,0.0,0.0498007968127489,1.0000000000000002,0.0,0.0,0.0,0.0,0.7427055702917773,0.3510373443983402,0.0,0.0,0.2000000000000001,0.00305810397567,0.0,0.7058823474046712,0.9468085106382976,0.0302967848309975,0.0030674846625767,0.0,0.5911957336633581,0.5677936860698386,0.4239435672386745,0.4512762168911822,0.4806050011088604,0.5949455168068394,0.8549320917887858,0.7795136659557025,0.5648470236604722
35,0.8571428571428612,0.0,0.0,0.7333333333333333,0.0,0.0,0.1547619047111105,0.5,0.0,0.0,0.0,0.9857142857142858,0.8636363635261697,0.0,0.0,1.0,1.0,0.3283189168458112,0.0180967873644401,0.5257234726688103,0.6285714285714286,0.0,0.0,0.0,0.0,0.3475801382778127,1.0,0.0,0.0265869744435284,0.0,0.0498007968127489,1.0000000000000002,0.0,0.0,0.0,0.0,0.7161803713527852,0.3477178423236515,0.0,0.0,0.2000000000000001,0.00305810397567,0.0,0.7058823474046712,0.9627659574468084,0.0265869744435284,0.0030674846625767,0.0,0.5937711777858409,0.5605603171561598,0.4250650651168829,0.4451456614360889,0.4819216080859078,0.59392638157099,0.853837155954055,0.7864309389838919,0.5723581125052136
40,0.8571428571428612,0.0,0.0,0.7333333333333333,0.0,0.0,0.1547619047111105,0.5,0.0,0.0,0.0,0.9857142857142858,0.8636363635261697,0.0,0.0,1.0,1.0,0.3283189168458112,0.0180967873644401,0.5257234726688103,0.6285714285714286,0.0,0.0,0.0,0.0,0.3475801382778127,1.0,0.0,0.0265869744435284,0.0,0.0498007968127489,1.0000000000000002,0.0,0.0,0.0,0.0,0.7161803713527852,0.3477178423236515,0.0,0.0,0.2000000000000001,0.00305810397567,0.0,0.7058823474046712,0.9627659574468084,0.0265869744435284,0.0030674846625767,0.0,0.6044065224778473,0.5590832291365655,0.4230972989581735,0.4357901799106717,0.5052183466193834,0.5919318856710082,0.8516089330411344,0.8013493018704579,0.6126434132914296
45,0.8571428571428612,0.0,0.0,0.7999999999999997,0.0,0.0,0.1547619047111105,0.5,0.0,0.0,0.0,0.9809523809523808,0.8636363635261697,0.0,0.0,1.0,1.0,0.3290710793610607,0.0180967873644401,0.527331189710611,0.6312925170068027,0.0,0.0,0.0,0.0,0.3482086737900691,1.0,0.0,0.0253503709810387,0.0,0.047808764940239,1.0000000000000002,0.0,0.0,0.0249999999999999,0.0,0.8514588859416443,0.3485477178423237,0.0,0.0,0.2000000000000001,0.00305810397567,0.0,0.5294117652595336,0.9414893617021276,0.0253503709810387,0.0030674846625767,0.0,0.5977665661886955,0.5577589623433051,0.4226979666034093,0.4076152583588103,0.5057734479340837,0.5902627923637115,0.8603439106123678,0.8062954615289877,0.6170732468838479
