,X-axis Angular Velocity,Y-axis Angular Velocity,Z-axis Angular Velocity,X-axis Acceleration,Y-axis Acceleration,Z-axis Acceleration,X-axis Angle,Y-axis Angle,Z-axis Angle,Base Action,Action
0,0.585974007,0.558022968,0.42428417,0.418915488,0.500327264,0.587391542,0.85743844,0.805220165,0.611078838,2,Idle
1,0.565811075,0.565432469,0.424754181,0.448767229,0.487880895,0.593089769,0.851285457,0.79053084,0.584575533,2,Idle
2,0.557310874,0.565432469,0.423820765,0.471358414,0.413567184,0.575961988,0.857122705,0.750001233,0.46081566,2,Idle
3,0.576424673,0.562965569,0.419126723,0.429403999,0.518742212,0.586343626,0.851418568,0.816661464,0.641596523,0,Idle
4,0.548825978,0.571294697,0.417723219,0.428328264,0.560884637,0.636351724,0.839079148,0.848424226,0.704575876,0,Idle
5,0.604023368,0.571913596,0.421006997,0.413357087,0.527039791,0.631603065,0.847673482,0.822314744,0.652137633,0,Idle
6,0.606152245,0.575308923,0.426627773,0.450381394,0.464807945,0.615490372,0.849305242,0.76937281,0.546691458,2,Idle
7,0.595538473,0.55154179,0.425224269,0.457283621,0.439551309,0.592533187,0.854866773,0.757397591,0.503992413,2,Idle
8,0.616765843,0.556480042,0.421006997,0.402778714,0.521726349,0.575274228,0.858976485,0.815904173,0.643371644,0,Idle
9,0.590231587,0.554632041,0.423820765,0.379381758,0.51190022,0.569706906,0.873574904,0.811801554,0.627398217,0,Idle
10,0.574295797,0.572223071,0.42428417,0.462483319,0.50898874,0.571475274,0.854873682,0.809278931,0.623568818,0,Idle
11,0.571117787,0.573147047,0.422880589,0.411474457,0.557172706,0.615719762,0.843923477,0.837969754,0.69389465,0,Idle
12,0.54776154,0.553084716,0.423820765,0.482294742,0.52267242,0.606975724,0.843113435,0.830827237,0.660282907,0,Idle
13,0.600845359,0.554013141,0.42194049,0.491080348,0.464807945,0.576944521,0.851649448,0.746916073,0.509554616,2,Idle
14,0.616765843,0.555246592,0.420536986,0.484715426,0.479001445,0.58025214,0.846474046,0.764972014,0.545662818,2,Idle
15,0.60295893,0.559875318,0.422880589,0.429941679,0.508188289,0.583494376,0.855250639,0.80955203,0.623307759,0,Idle
16,0.615701579,0.562656093,0.423350677,0.474316779,0.553679357,0.609333503,0.836239802,0.864667089,0.723207748,0,Idle
17,0.585974007,0.578085299,0.426164445,0.4872256,0.462988156,0.577304815,0.847628233,0.749344759,0.510936645,2,Idle
18,0.57855355,0.578085299,0.424754181,0.428865944,0.573185995,0.600196479,0.833554033,0.848635217,0.724260152,0,Idle
19,0.625250739,0.574384947,0.425224269,0.402778714,0.54698268,0.62646142,0.846015323,0.831853692,0.677382356,0,Idle
20,0.590231587,0.551851265,0.428038037,0.489466933,0.485551894,0.58018662,0.848858661,0.769115301,0.556602698,2,Idle
21,0.577489112,0.553394191,0.425694357,0.447243677,0.454108706,0.572457807,0.864758319,0.774804626,0.526567876,2,Idle
