,Absolute Time,X-axis Angular Velocity,Y-axis Angular Velocity,Z-axis Angular Velocity,X-axis Acceleration,Y-axis Acceleration,Z-axis Acceleration,X-axis Angle,Y-axis Angle,Z-axis Angle
0,2023-04-17 14:15:43.067000+08:00,-0.33484,0.78159,0.12327,-3.28964,-1.34074,10.07719,-7.20842,68.26192,49.42389
1,2023-04-17 14:15:43.137000+08:00,-2.41035,-2.8195,0.67231,-0.7063,5.62399,13.78102,22.17395,172.46272,73.7751
2,2023-04-17 14:15:43.191000+08:00,-1.55619,0.66007,0.30599,0.17957,-3.94086,10.37646,-20.79333,-2.72975,54.4888
3,2023-04-17 14:15:43.242000+08:00,0.39779,2.12446,-0.73176,1.18752,-4.38857,5.00627,-40.46239,-18.25224,59.99535
4,2023-04-17 14:15:43.295000+08:00,-6.07264,-2.45319,0.79471,-1.83397,0.14606,14.76505,0.56244,94.54178,59.06004
5,2023-04-17 14:15:43.346000+08:00,4.60912,-0.01137,-0.36544,-0.92656,-0.47644,12.0979,-2.24869,62.82219,58.7908
6,2023-04-17 14:15:43.395000+08:00,3.81529,-0.98792,-0.12152,-4.62082,-1.11809,10.17535,-5.71336,76.83372,46.52898
7,2023-04-17 14:15:43.445000+08:00,-1.18987,0.90399,0.1836,-2.52589,2.45645,13.86243,9.8891,133.76006,64.58734
8,2023-04-17 14:15:43.494000+08:00,1.67946,-1.72055,-0.12152,-4.80757,-2.50673,4.34547,-21.14725,66.1748,15.41452
9,2023-04-17 14:15:43.544000+08:00,-4.30225,-2.02567,0.54991,-3.10049,0.05267,7.26401,0.38211,90.94709,51.93684
10,2023-04-17 14:15:43.597000+08:00,-2.53274,2.8571,0.30599,-4.1348,-2.51151,9.08839,-14.11893,60.00875,41.61781
11,2023-04-17 14:15:43.649000+08:00,0.51931,-2.8807,0.36719,-5.57132,-5.44681,8.46829,-28.25084,49.72443,25.61604
12,2023-04-17 14:15:43.700000+08:00,1.67946,0.17136,0.48871,-1.44611,3.95044,13.21121,16.55438,159.32613,67.48475
13,2023-04-17 14:15:43.750000+08:00,1.37434,-2.57471,-0.06032,-4.14676,-2.12843,2.22182,-24.34329,68.50592,356.37619
14,2023-04-17 14:15:43.799000+08:00,3.44897,1.08671,-0.54816,-1.37668,-1.38623,12.27507,-6.40334,44.98112,53.29221
15,2023-04-17 14:15:43.851000+08:00,1.55706,-1.59816,0.00087,-6.31352,-5.0757,6.61996,-29.02357,56.37503,17.88894
16,2023-04-17 14:15:43.903000+08:00,0.27539,0.41528,-0.06032,-1.44371,3.11247,13.50569,12.90656,154.69766,66.17136
17,2023-04-17 14:15:43.953000+08:00,2.3509,0.84279,-1.09808,-3.22499,-1.78607,1.86029,-25.62848,66.87829,0.63996
18,2023-04-17 14:15:44.002000+08:00,2.1673,0.35495,-0.18272,-1.88664,0.22984,13.40753,0.97253,96.92286,58.24589
19,2023-04-17 14:15:44.056000+08:00,0.0918,2.00294,0.1836,-6.85699,-6.82826,9.10515,-30.92404,50.0987,24.2109
20,2023-04-17 14:15:44.107000+08:00,-2.71546,-0.6828,0.30599,-1.43175,4.49393,13.21599,18.6783,161.68413,70.4404
21,2023-04-17 14:15:44.155000+08:00,1.49587,1.20911,-0.91448,-3.94086,-1.80283,1.9393,-22.31631,70.72038,356.51779
22,2023-04-17 14:15:44.206000+08:00,1.67946,0.41528,-0.12152,-1.27612,-0.72783,13.03882,-3.17978,60.36644,57.30368
23,2023-04-17 14:15:44.255000+08:00,-0.45724,1.75815,0.12327,-5.81552,-5.17146,7.73807,-28.11357,52.71664,25.09115
24,2023-04-17 14:15:44.305000+08:00,0.51931,0.72039,0.00087,-1.69031,4.50829,14.65012,16.99852,158.83427,69.41704
25,2023-04-17 14:15:44.362000+08:00,0.76323,-0.07256,0.67231,0.19632,-6.71573,8.011,-39.96509,-2.01176,52.51488
26,2023-04-17 14:15:44.410000+08:00,-1.80011,-3.85725,1.22135,-1.52991,0.0024,14.64294,0.00932,90.08955,58.83539
27,2023-04-17 14:15:44.459000+08:00,-2.04403,3.22341,0.24479,-1.09895,-1.17795,6.92165,-9.54099,43.3972,53.08203
28,2023-04-17 14:15:44.508000+08:00,-1.80011,0.47647,0.00087,-0.19394,5.09247,14.71477,19.0881,177.7346,70.66811
29,2023-04-17 14:15:44.558000+08:00,2.71634,2.42958,-0.97568,0.73981,-6.70137,6.36858,-46.2668,-8.15017,56.14979
30,2023-04-17 14:15:44.608000+08:00,-6.37776,-2.94102,1.09982,-1.92015,-0.65601,14.69562,-2.53445,71.19828,57.03205
31,2023-04-17 14:15:44.658000+08:00,-0.39604,2.24686,0.30599,-1.07022,0.22984,11.58554,1.13171,102.10271,59.50147
32,2023-04-17 14:15:44.707000+08:00,-2.59307,-2.63591,0.36719,-4.92009,-1.25217,9.90482,-6.45956,76.25863,43.57822
33,2023-04-17 14:15:44.756000+08:00,1.37434,-0.19496,0.30599,-2.16437,3.23936,12.47141,14.35492,145.55547,67.45367
34,2023-04-17 14:15:44.807000+08:00,1.25195,-1.90415,-0.24305,-4.549,-2.1021,3.90733,-19.31766,68.61831,13.35082
35,2023-04-17 14:15:44.857000+08:00,2.65601,1.14791,-0.30424,-3.51949,-1.48441,6.26323,-11.674,68.29826,37.74785
36,2023-04-17 14:15:44.905000+08:00,0.76323,2.06326,-0.06032,-3.32077,-0.72543,9.48103,-4.13033,77.92237,49.91346
37,2023-04-17 14:15:44.954000+08:00,-0.94508,0.72039,0.06207,-4.29042,-5.18584,8.82263,-27.86089,42.94807,34.19571
38,2023-04-17 14:15:45.002000+08:00,0.64171,-3.85725,0.36719,-6.28719,-2.03267,9.39725,-10.1917,73.21304,34.37538
39,2023-04-17 14:15:45.050000+08:00,3.63257,1.02639,-0.42664,-1.61609,-1.04866,10.92474,-5.42432,57.19319,54.58604
40,2023-04-17 14:15:45.098000+08:00,0.64171,-2.69711,0.30599,-4.58011,0.06705,8.83701,0.38594,90.80707,47.46075
41,2023-04-17 14:15:45.147000+08:00,1.31314,0.23255,0.91623,-3.45963,4.31436,12.69646,18.15198,139.97961,70.06034
42,2023-04-17 14:15:45.195000+08:00,-5.88904,-3.97878,1.22135,-5.7413,-2.78925,9.02135,-14.61928,65.76295,33.20192
43,2023-04-17 14:15:45.245000+08:00,0.153,2.00294,0.12327,-1.10852,0.89304,11.13065,4.56465,128.75003,61.65497
44,2023-04-17 14:15:45.295000+08:00,-5.03489,-1.84295,0.79471,-2.99275,1.26654,7.5992,8.81493,112.29744,59.85351
45,2023-04-17 14:15:45.345000+08:00,1.61826,0.47647,0.24479,-1.93692,3.5985,6.81151,26.93745,149.49013,81.51318
46,2023-04-17 14:15:45.395000+08:00,-2.89819,-3.79606,0.61111,-4.53223,-0.51476,13.29022,-2.09946,83.63819,51.8544
47,2023-04-17 14:15:45.447000+08:00,4.91424,2.06326,-0.30424,-0.67996,-2.67911,7.23528,-20.23691,14.8582,50.87894
48,2023-04-17 14:15:45.497000+08:00,2.2897,-1.35424,-0.06032,-2.92812,1.46046,10.54886,7.5986,116.09602,60.38632
49,2023-04-17 14:15:45.546000+08:00,0.33659,3.22341,0.24479,-0.50279,-1.7693,5.36301,-18.18372,16.41211,51.45822
50,2023-04-17 14:15:45.598000+08:00,-2.22675,-1.78175,-0.85328,-3.74454,4.11803,12.88081,17.06613,136.47467,69.05089
51,2023-04-17 14:15:45.647000+08:00,-1.18987,3.52853,-0.06032,-0.45012,-2.04465,4.57532,-23.97659,13.1887,49.95057
52,2023-04-17 14:15:45.698000+08:00,-5.34001,0.90399,0.54991,-0.68954,-0.89064,10.1993,-4.97931,37.83854,57.06617
53,2023-04-17 14:15:45.757000+08:00,1.25195,-4.65021,0.00087,-4.14915,1.65919,8.83221,9.64972,110.98126,58.72735
54,2023-04-17 14:15:45.807000+08:00,3.14385,3.46733,0.42839,-2.03268,2.90178,7.86974,19.64706,143.60489,72.1721
55,2023-04-17 14:15:45.865000+08:00,1.37434,1.75815,-0.30424,-5.50667,-1.55623,11.19528,-7.11006,74.81218,43.46185
56,2023-04-17 14:15:45.917000+08:00,-4.48585,-0.744,1.03863,-2.42534,-1.09654,4.84827,-11.43518,66.719,40.6226
57,2023-04-17 14:15:45.967000+08:00,-3.5093,1.39183,0.36719,-5.05177,0.07901,8.9615,0.44005,90.8572,46.49521
58,2023-04-17 14:15:46.019000+08:00,-4.54617,-3.06342,0.67231,-1.68791,-1.44609,10.77631,-7.55197,49.69058,53.90323
59,2023-04-17 14:15:46.069000+08:00,1.55706,1.88054,0.1836,-0.14366,-1.54425,12.3062,-7.15193,5.34266,57.42286
60,2023-04-17 14:15:46.117000+08:00,-3.99714,-1.41543,1.22135,-1.66637,-2.90895,12.9287,-12.57965,30.27742,52.54722
61,2023-04-17 14:15:46.168000+08:00,-2.53274,-1.23271,0.12327,-1.02234,0.05028,11.77948,0.24364,92.81198,59.22585
62,2023-04-17 14:15:46.226000+08:00,-2.10523,-4.40629,0.24479,-1.50597,0.9122,11.26712,4.58803,121.07541,60.95895
63,2023-04-17 14:15:46.276000+08:00,3.32745,2.24686,0.42839,0.20111,-1.74776,11.78426,-8.435,-6.61177,57.59059
64,2023-04-17 14:15:46.328000+08:00,0.33659,-1.78175,-1.09808,-1.97762,-1.03429,4.53702,-11.8036,63.3809,42.86191
65,2023-04-17 14:15:46.380000+08:00,1.55706,2.42958,0.12327,-1.8627,1.37668,11.81538,6.56552,126.23557,61.89499
66,2023-04-17 14:15:46.445000+08:00,3.51017,3.16221,-0.36544,-0.98402,-3.0119,7.01022,-23.04845,19.12031,48.71526
67,2023-04-17 14:15:46.495000+08:00,-0.57964,0.04983,0.30599,-3.5937,0.81642,6.28,6.43773,102.19821,52.10169
68,2023-04-17 14:15:46.544000+08:00,0.27539,0.04983,0.06207,-2.8132,-0.96965,7.62074,-6.8069,71.43024,47.85179
