,Latitude,Longitude,Altitude,Timestamp,Speed
0,24.122301,120.672056,61.0,2023-04-17T14:16:13+0800,4.725253
1,24.1223,120.672055,59.8,2023-04-17T14:17:12+0800,4.708452
2,24.122333,120.67206,58.0,2023-04-17T14:17:25+0800,
3,24.122943,120.672029,59.8,2023-04-17T14:17:32+0800,4.691056
4,24.123307,120.672023,60.8,2023-04-17T14:17:35+0800,4.690413
5,24.123533,120.672122,62.5,2023-04-17T14:17:37+0800,4.681222
6,24.123635,120.672196,62.3,2023-04-17T14:17:38+0800,4.672772
7,24.12372,120.672279,62.6,2023-04-17T14:17:39+0800,4.665167
8,24.123791,120.672372,62.1,2023-04-17T14:17:40+0800,4.665383
9,24.123891,120.672539,61.4,2023-04-17T14:17:42+0800,4.66262
10,24.123982,120.672957,59.0,2023-04-17T14:17:52+0800,
11,24.124124,120.672973,62.0,2023-04-17T14:17:54+0800,
12,24.124501,120.672755,63.0,2023-04-17T14:17:55+0800,46.923464
13,24.124499,120.672667,63.7,2023-04-17T14:17:56+0800,50.15179
14,24.123469,120.671983,63.1,2023-04-17T14:18:04+0800,4.669526
15,24.123345,120.67195,62.8,2023-04-17T14:18:05+0800,4.674084
16,24.123223,120.671937,62.0,2023-04-17T14:18:06+0800,4.676413
17,24.122823,120.671949,60.0,2023-04-17T14:18:15+0800,
18,24.122715,120.671964,63.3,2023-04-17T14:18:22+0800,4.692549
19,24.122588,120.671959,63.4,2023-04-17T14:18:24+0800,4.690118
20,24.122472,120.671931,62.6,2023-04-17T14:18:26+0800,4.69586
21,24.122384,120.671942,56.0,2023-04-17T14:18:44+0800,
22,24.122395,120.671989,55.0,2023-04-17T14:19:02+0800,
23,24.122554,120.67204,61.4,2023-04-17T14:19:21+0800,4.713524
24,24.122815,120.672032,61.8,2023-04-17T14:19:24+0800,4.70975
25,24.123361,120.672038,61.4,2023-04-17T14:19:29+0800,4.713582
26,24.123578,120.672146,62.5,2023-04-17T14:19:31+0800,4.697576
27,24.123676,120.672227,63.0,2023-04-17T14:19:32+0800,4.690146
28,24.123835,120.672426,63.5,2023-04-17T14:19:34+0800,4.683487
29,24.123883,120.672525,63.2,2023-04-17T14:19:35+0800,4.680112
30,24.123973,120.672937,61.0,2023-04-17T14:19:43+0800,
31,24.123604,120.67204,63.3,2023-04-17T14:19:55+0800,4.651209
32,24.123491,120.671991,62.3,2023-04-17T14:19:56+0800,4.659394
33,24.123374,120.67196,61.4,2023-04-17T14:19:57+0800,4.672744
34,24.123251,120.671946,61.4,2023-04-17T14:19:58+0800,4.679991
35,24.122634,120.671945,61.3,2023-04-17T14:20:22+0800,4.704244
36,24.122519,120.671922,61.2,2023-04-17T14:20:24+0800,4.707082
37,24.12247,120.671939,61.3,2023-04-17T14:20:25+0800,4.706699
38,24.122389,120.671938,58.0,2023-04-17T14:20:37+0800,
39,24.12241,120.671987,58.0,2023-04-17T14:21:14+0800,
40,24.122401,120.672036,61.2,2023-04-17T14:21:21+0800,8.646876
41,24.122621,120.672029,60.9,2023-04-17T14:21:23+0800,4.705044
42,24.122804,120.672007,61.4,2023-04-17T14:21:25+0800,4.709713
43,24.123243,120.672009,61.5,2023-04-17T14:21:29+0800,4.708911
44,24.12347,120.672091,62.0,2023-04-17T14:21:31+0800,4.703147
45,24.123581,120.672147,62.5,2023-04-17T14:21:32+0800,4.695806
46,24.123675,120.672226,62.5,2023-04-17T14:21:33+0800,4.688522
47,24.123832,120.672422,63.2,2023-04-17T14:21:35+0800,4.680944
48,24.123889,120.672535,62.8,2023-04-17T14:21:36+0800,4.677359
49,24.123976,120.672954,58.0,2023-04-17T14:22:22+0800,
50,24.124072,120.672705,61.3,2023-04-17T14:22:42+0800,4.675846
51,24.123975,120.672412,62.5,2023-04-17T14:22:45+0800,4.683175
52,24.123844,120.672219,62.7,2023-04-17T14:22:47+0800,4.667414
53,24.123761,120.67214,63.1,2023-04-17T14:22:48+0800,4.663292
54,24.123663,120.672074,63.2,2023-04-17T14:22:49+0800,4.661153
55,24.123451,120.671977,62.9,2023-04-17T14:22:51+0800,4.665513
56,24.123332,120.671949,62.6,2023-04-17T14:22:52+0800,4.676314
57,24.123211,120.671935,62.3,2023-04-17T14:22:53+0800,4.682728
58,24.122633,120.671944,62.1,2023-04-17T14:23:23+0800,4.701147
59,24.122524,120.67192,62.3,2023-04-17T14:23:25+0800,4.703511
60,24.122472,120.671939,62.0,2023-04-17T14:23:26+0800,4.704372
61,24.122404,120.671942,52.0,2023-04-17T14:23:45+0800,
62,24.122401,120.672042,61.6,2023-04-17T14:24:20+0800,9.040982
63,24.122893,120.672019,61.4,2023-04-17T14:24:25+0800,4.710653
64,24.123337,120.672028,61.6,2023-04-17T14:24:29+0800,4.709403
65,24.123454,120.672051,62.1,2023-04-17T14:24:30+0800,4.70806
66,24.123568,120.672098,62.3,2023-04-17T14:24:31+0800,4.700479
67,24.123677,120.672162,62.6,2023-04-17T14:24:32+0800,4.694473
68,24.123779,120.672246,62.8,2023-04-17T14:24:33+0800,4.688875
69,24.123864,120.672352,63.3,2023-04-17T14:24:34+0800,4.685153
70,24.123965,120.672569,62.8,2023-04-17T14:24:36+0800,4.681255
71,24.124014,120.672755,62.5,2023-04-17T14:24:38+0800,4.681243
72,24.124038,120.672908,60.4,2023-04-17T14:24:45+0800,4.67034
73,24.124083,120.672932,60.6,2023-04-17T14:24:46+0800,4.666846
74,24.124121,120.672914,61.1,2023-04-17T14:24:47+0800,4.663882
75,24.124146,120.672857,61.7,2023-04-17T14:24:48+0800,4.663595
76,24.12404,120.672512,63.8,2023-04-17T14:24:52+0800,4.676147
77,24.123994,120.672412,64.2,2023-04-17T14:24:53+0800,4.679297
78,24.12394,120.672318,65.2,2023-04-17T14:24:54+0800,4.675015
79,24.123868,120.67223,66.1,2023-04-17T14:24:55+0800,4.675214
80,24.123782,120.672148,65.7,2023-04-17T14:24:56+0800,4.672823
81,24.12368,120.67208,65.5,2023-04-17T14:24:57+0800,4.669293
82,24.123576,120.672027,66.0,2023-04-17T14:24:58+0800,4.669298
83,24.123337,120.67196,64.8,2023-04-17T14:25:00+0800,4.690198
84,24.122833,120.671947,63.8,2023-04-17T14:25:05+0800,4.703572
85,24.122744,120.671935,61.3,2023-04-17T14:25:21+0800,4.710123
86,24.122407,120.67194,60.0,2023-04-17T14:25:40+0800,
87,24.122405,120.671988,57.0,2023-04-17T14:26:14+0800,
88,24.122448,120.671986,60.3,2023-04-17T14:26:21+0800,4.706768
89,24.122587,120.672035,60.8,2023-04-17T14:26:23+0800,4.703612
90,24.122982,120.672032,60.4,2023-04-17T14:26:27+0800,4.707575
91,24.123339,120.672046,61.4,2023-04-17T14:26:30+0800,4.709143
92,24.12346,120.672075,61.8,2023-04-17T14:26:31+0800,4.708714
93,24.123564,120.672138,62.4,2023-04-17T14:26:32+0800,4.705374
94,24.123659,120.672214,63.0,2023-04-17T14:26:33+0800,4.701058
95,24.12374,120.6723,63.8,2023-04-17T14:26:34+0800,4.696916
96,24.123814,120.6724,64.0,2023-04-17T14:26:34+0800,7.446777
97,24.12387,120.6725,63.9,2023-04-17T14:26:35+0800,7.768122
98,24.123933,120.672724,63.1,2023-04-17T14:26:37+0800,9.42157
99,24.123976,120.672952,60.0,2023-04-17T14:27:08+0800,
100,24.124062,120.672663,63.9,2023-04-17T14:27:42+0800,4.689612
101,24.124006,120.672475,65.4,2023-04-17T14:27:44+0800,4.702728
102,24.123962,120.672375,65.5,2023-04-17T14:27:45+0800,4.699477
103,24.123897,120.67228,66.0,2023-04-17T14:27:46+0800,4.69514
104,24.123816,120.672192,66.0,2023-04-17T14:27:47+0800,4.689879
105,24.123723,120.67212,65.9,2023-04-17T14:27:48+0800,4.688464
106,24.123618,120.67206,65.7,2023-04-17T14:27:49+0800,4.69234
107,24.123505,120.672011,65.6,2023-04-17T14:27:50+0800,4.692735
108,24.123385,120.671974,65.9,2023-04-17T14:27:51+0800,4.69398
109,24.123252,120.671961,64.9,2023-04-17T14:27:52+0800,4.701197
110,24.122626,120.671946,61.9,2023-04-17T14:28:24+0800,4.709117
111,24.122514,120.671923,61.4,2023-04-17T14:28:26+0800,4.713435
