,X-axis Angular Velocity,Y-axis Angular Velocity,Z-axis Angular Velocity,X-axis Acceleration,Y-axis Acceleration,Z-axis Acceleration,X-axis Angle,Y-axis Angle,Z-axis Angle
0,0.5859740071807846,0.5580229678066493,0.4242841702599839,0.4189154883380287,0.500327264027132,0.587391542474205,0.4664372989219369,0.7347493641134364,0.1393818177536562
12,0.5626177600147213,0.5527796907868299,0.4242841702599839,0.4605108262453889,0.468010663365551,0.5670542175464552,0.4190766044308469,0.6690076513107721,0.1326299335416939
24,0.5520039878173987,0.5749994475464717,0.4214704025542054,0.4601521230883518,0.4492321227655071,0.564368837112089,0.3920692686958724,0.6437794367744375,0.1235973124292506
36,0.636928949261946,0.5580229678066493,0.4228805893119688,0.3797397118093467,0.5148846610909672,0.565351370102108,0.4835743557185693,0.7541400977630441,0.1245131590107242
48,0.6135878338175195,0.5561749665076628,0.4224105782672085,0.4614970727126495,0.4972701650426082,0.5862452767834965,0.4621994845914288,0.7211439867681358,0.1445208800466725
60,0.5477615400683641,0.5530847159294071,0.4238207650249718,0.4822947416663297,0.5226724201091204,0.6069757243359593,0.4908617319257479,0.7815565445025014,0.1580900064358667
72,0.6008453588487787,0.5638895438827365,0.4214704025542054,0.4539669274191495,0.457238463145024,0.5847060252539567,0.4146114979746733,0.6580457905009672,0.1327758477043613
84,0.5849248744806298,0.570370721348559,0.4266277732975195,0.4659793644588824,0.542761536854976,0.6010807999676091,0.5128380393260363,0.8164176652766038,0.1650467884256611
96,0.6072166832970665,0.5512367651982494,0.4266277732975195,0.4452711840798702,0.4990172958962337,0.5849354151779804,0.4643383981989941,0.728592411772198,0.1424955068486546
108,0.6210082909659621,0.561113218384905,0.4214704025542054,0.410847288308973,0.5271124490141494,0.5843131762010074,0.497311145991508,0.7714073103782155,0.1458135370096855
120,0.5573108739160599,0.5561749665076628,0.4205369862744331,0.4151498540475046,0.5383212039424903,0.6099229129483705,0.505515859012115,0.7873107538681663,0.1550265327451896
132,0.6061522449474399,0.5716041718256387,0.4238207650249718,0.4802335090155059,0.5279132046550837,0.5999017056652336,0.4971925871040841,0.7938996789614738,0.1623808069598773
144,0.5870384455304112,0.5638895438827365,0.4205369862744331,0.4454505356583887,0.5057863259270023,0.5600786847107307,0.4709937957536386,0.74064252605729,0.1378424261210735
156,0.5987164821495254,0.5604942681619034,0.4270978611540211,0.4741374274917888,0.4738333181836284,0.5858851195563323,0.4338330129737635,0.6672079083994374,0.1410832403555039
168,0.6422358353606072,0.5567895173295696,0.4242841702599839,0.5020174244364466,0.5097894961167607,0.6234814031386342,0.477521163915623,0.7450527769732489,0.1606777420582208
180,0.5350190650996233,0.5527796907868299,0.4224105782672085,0.4599735203681986,0.459130605555493,0.589651108458073,0.4187433610278529,0.6557888738800717,0.137369889145598
192,0.6114591310461012,0.5629655685171576,0.4233506771684703,0.4400714860195632,0.5148120033088172,0.5631242223722612,0.4840101173407437,0.7563516971163882,0.1374025124570528
204,0.609330254346848,0.5598753179389018,0.4210069973191934,0.5120573685416583,0.4887543081656706,0.6000981301917082,0.4540101019511727,0.6561842816265626,0.15445551345237
216,0.6061522449474399,0.580247123967386,0.4242841702599839,0.4285967292862032,0.5453814731167727,0.6229572396390166,0.5102025752908126,0.8013973666972153,0.1606683614643981
228,0.5838604361310031,0.565122994359816,0.4252242691612457,0.4857915358036673,0.4691023541425424,0.5985590154480505,0.4324013685353591,0.646575770582486,0.1458290692688935
240,0.6316220631632847,0.5601847930504026,0.4242841702599839,0.456476726230861,0.4732511439040576,0.5887670613030552,0.4346648192867787,0.6795971936747208,0.1368188836419729
252,0.5583753122656866,0.5722230714808116,0.4210069973191934,0.4652623325739909,0.4616055302604462,0.5881776509377493,0.4207113912065649,0.6549466006436775,0.1393456314866841
264,0.5764246733330887,0.5512367651982494,0.4247541813047442,0.4614970727126495,0.4817670007809951,0.6172915684088082,0.4504056276583265,0.6907679973735434,0.1410372837964493
276,0.5859740071807846,0.5570989418732417,0.4233506771684703,0.453249895534258,0.4047600879554374,0.5928933442178419,0.3628705172399302,0.6077130322792312,0.1250491054601709
288,0.599780920499152,0.5623466688619847,0.4210069973191934,0.3924699295923365,0.522600066334427,0.5778942251189216,0.4923957762020173,0.7635612826159295,0.1362643986896006
300,0.6188947199161807,0.5657419445828177,0.4233506771684703,0.4403407006019323,0.5472012617525482,0.5962664840666334,0.5181879277338892,0.8088484312723487,0.1617759117540538
312,0.599780920499152,0.5595702927963245,0.4191267227049285,0.3762440409595571,0.4707762191991045,0.5892581226192417,0.4355007097551768,0.7082334278836953,0.117718324483425
324,0.609330254346848,0.5601847930504026,0.4210069973191934,0.466517419194438,0.4382413411836165,0.5813657140168323,0.3898220953753274,0.6248936113933445,0.1295398490269972
336,0.5870384455304112,0.5540131412639095,0.4242841702599839,0.4536977128367803,0.5024382918064214,0.5977075233329358,0.4692642447349022,0.7332435582796176,0.1480771828579195
348,0.5541328645166519,0.5601847930504026,0.4256943570177472,0.4339761533542115,0.5083339084141055,0.5635500368227595,0.4748964725801054,0.7456479863573631,0.1376248353142113
360,0.5827959977813766,0.555865491396162,0.4242841702599839,0.4259075788959731,0.493704157575577,0.5821845143061619,0.4579746922056203,0.724125729605229,0.1346334836371685
372,0.6040233682481867,0.561113218384905,0.4205369862744331,0.4225013966208515,0.4831499307015002,0.5778942251189216,0.4444909419944576,0.7101676777798351,0.1287840014167202
