,4,5,6,8,Base Action,Action
0,0.053024768,0.02507079,-0.065406719,-0.023077325,4,Idle 1
1,-0.005678587,-0.029332866,-0.06723541,-0.003515702,4,Idle 1
2,0.033917205,0.023669404,0.001104953,-0.017424715,4,Idle 1
3,-0.001496872,0.004353817,-0.009834864,-0.000423066,4,Idle 1
4,0.043089767,-0.00398853,-0.041005885,-0.008156059,4,Idle 1
5,-0.006970389,-0.044487992,-0.035088787,-0.011822246,4,Idle 1
6,0.053830347,0.028169573,0.013352508,-0.025915137,4,Idle 1
7,0.062437015,-0.076381419,0.022268701,-0.007428678,1,Idle 1
8,0.044288078,-0.00676079,-0.032657383,-0.00934333,4,Idle 1
9,0.046552214,-0.008453947,-0.035983722,-0.017490891,4,Idle 1
10,0.001668299,-0.033429824,-0.027667657,-0.00650452,4,Idle 1
11,0.047328811,-0.010759419,-0.028984432,-0.016977404,4,Idle 1
12,0.01252214,-0.103228242,0.019651374,-0.010164812,1,Idle 1
13,0.047643612,0.01046778,-0.022274898,-0.002230455,4,Idle 1
14,0.035308193,-0.023664811,-0.044657668,-0.013866268,4,Idle 1
15,0.101698128,-0.141573511,0.004103738,-0.011329932,1,Idle 1
16,0.035410433,-0.062321797,-0.045951367,-0.000779366,4,Idle 1
17,0.021412127,-0.093148368,0.006770251,-0.009000457,1,Idle 1
18,0.021721971,-0.006401001,-0.027988444,-0.010712715,4,Idle 1
19,0.048412726,-0.090076245,-0.005588226,-0.009194317,1,Idle 1
20,0.056022645,0.048758379,-0.017850759,-0.026150415,4,Idle 1
21,0.081551495,-0.139658389,0.02534264,-0.012485692,1,Idle 1
22,0.01204418,-0.001660822,0.001385077,-0.015801239,4,Idle 1
23,-0.036058306,0.00773207,-0.023707774,0.000510118,4,Idle 1
24,0.030531395,0.016875055,-0.044247951,-0.010454749,4,Idle 1
25,0.048123147,0.026617979,-0.047565583,-0.015668367,4,Idle 1
26,-0.021959536,-0.070975211,-0.007949821,-0.009999683,4,Idle 1
27,0.014927057,0.013344522,-0.00440065,-0.009652125,4,Idle 1
28,-0.028015349,0.000417247,-0.007022438,-0.001666885,4,Idle 1
29,0.048002318,0.02020911,-0.042724245,-0.005121838,4,Idle 1
30,0.033951483,-0.042932816,-0.011678262,-0.004097178,4,Idle 1
31,-0.051059996,-0.068803548,0.035252676,-0.011626865,4,Idle 1
32,-0.010980886,0.006680121,-0.004114799,-0.001213192,4,Idle 1
33,0.009488898,0.015510487,-0.007087485,-0.002983621,4,Idle 1
34,0.039989512,0.021289094,-0.01058136,-0.019092571,4,Idle 1
35,-0.037173667,-0.080153443,0.004590099,-0.014414107,4,Idle 1
36,-0.000611407,0.043330608,0.00890277,-0.005301923,4,Idle 1
37,-0.058246297,-0.001942107,0.0145512,-0.004823981,4,Idle 1
38,0.03468923,-0.014558716,0.002247486,-0.003745926,4,Idle 1
39,0.043109294,-0.023679511,-0.03055338,0.000804402,4,Idle 1
40,-0.042669688,-0.068585845,-0.031982887,-0.012528374,4,Idle 1
41,0.016801887,0.0286755,0.008080405,-0.010214588,4,Idle 1
42,-0.032468009,0.013385,-0.003369757,-0.003946478,4,Idle 1
43,0.026308736,0.031236699,-0.049591854,-0.015377652,4,Idle 1
44,0.020590272,-0.06324523,-0.058540541,-0.00695536,4,Idle 1
45,0.030985376,0.018893177,0.022996502,-0.014075998,4,Idle 1
46,-0.010759018,-0.008257819,-0.001990646,0.005292678,4,Idle 1
47,-0.015094727,-0.014843351,0.005263778,-0.0051741,4,Idle 1
48,0.036582242,0.012775584,-0.046893743,-0.017708809,4,Idle 1
49,0.036974173,-0.082661933,-0.02034199,-0.015087,4,Idle 1
50,-0.00947799,-0.041991555,0.045635506,-0.008259243,4,Idle 1
51,-0.004988111,-0.002421318,-0.017559794,0.00055281,4,Idle 1
52,0.025834262,-0.027779324,-0.014729602,-0.004447776,4,Idle 1
53,0.068683153,0.049543132,-0.04836603,-0.028517499,4,Idle 1
54,-0.015177473,-0.055538897,-0.001360335,-0.012577916,4,Idle 1
55,0.029506952,-0.017236899,-0.036544213,-0.007099735,4,Idle 1
56,0.13484338,-0.161006026,0.029497999,-0.010230916,1,Idle 1
57,0.0191018,0.016809947,-0.021512125,-0.013787464,4,Idle 1
58,-0.125514104,0.033701418,-0.050745814,0.003547418,2,Go straight 1
59,-0.044545026,-0.041663943,-0.006891312,-0.014362928,4,Go straight 1
60,-0.067722994,-0.103852717,0.10289939,-0.049055913,7,Go straight 1
61,0.11146033,-0.156126261,0.136942542,0.000426353,1,Go straight 1
62,0.012702208,0.135346595,0.002060385,-0.024401786,8,Go straight 1
63,0.055979921,0.107169358,-0.075010293,0.009119941,8,Go straight 1
64,0.057553333,-0.042071432,0.037445643,0.010911756,4,Go straight 1
65,0.091729021,0.056508913,0.008615508,-0.036118084,4,Go straight 1
66,0.252623828,-0.120334947,0.00707032,0.012615963,3,Go straight 1
67,-0.102289232,-0.013068846,0.106323413,-0.018572687,7,Go straight 1
68,0.045404188,-0.026678988,0.009547047,-0.016737083,4,Go straight 1
69,-0.098365232,-0.023678845,0.045001723,-0.003219027,7,Go straight 1
70,0.066649926,0.18789684,-0.14080653,0.011332096,8,Go straight 1
71,0.058047433,0.038512173,-0.091248042,-0.027870286,4,Go straight 1
72,0.225189338,-0.008122753,-0.013898061,0.15939595,3,Go straight 1
73,-0.112320574,-0.119168359,0.057878721,-0.002352666,7,Go straight 1
74,0.256083442,0.173346244,0.054224145,0.137291742,3,Go straight 1
75,0.228816885,0.047816613,0.030761619,0.152054928,3,Go straight 1
76,-0.207227242,-0.085775605,-0.168322715,-0.052146799,6,Go straight 1
77,0.055892595,-0.220720001,-0.106400635,-0.00940477,1,Go straight 1
78,0.129220836,0.069118328,-0.009506641,-0.170692165,8,Go straight 1
79,0.032545731,0.048271262,-0.081507725,0.041408045,4,Go straight 1
80,0.176600275,-0.151272593,0.059684831,0.093568677,3,Go straight 1
81,-0.22697706,-0.017455633,-0.073320463,-0.027751263,2,Go straight 1
82,0.040450019,-0.027284197,-0.063911131,0.070083189,4,Go straight 1
83,-0.182503921,-0.021397746,9.01E-05,-0.030018329,7,Go straight 1
84,0.053108177,-0.117192227,-0.078231801,0.004842834,1,Go straight 1
85,0.083309781,-0.175162418,0.009998301,0.00589336,1,Go straight 1
86,-0.103264712,-0.093020044,0.018371396,-0.036236975,7,Go straight 1
87,-0.167211302,0.090749413,-0.141646891,0.000744845,2,Go straight 1
88,0.144909584,0.013434787,-0.059628564,0.119514292,3,Go straight 1
89,-0.057972358,0.048620975,0.019674255,0.001000998,2,Go straight 1
90,-0.001385655,0.094645079,0.049434141,-0.051736177,8,Go straight 1
91,-0.030009595,-0.079064516,0.168303208,0.025247149,0,Go straight 1
92,0.12131786,-0.142137858,-0.056517596,0.041564981,1,Go straight 1
93,0.054673655,-0.210868987,-0.15836357,0.052868934,1,Go straight 1
94,0.073407201,0.119010462,-0.131401062,0.052386313,8,Go straight 1
95,0.048050856,0.075455623,-0.022352588,0.012436828,8,Go straight 1
96,-0.019051363,-0.039064389,0.035519416,0.000966084,4,Go straight 1
97,-0.160913135,-0.042749482,0.162793118,0.016006045,7,Go straight 1
98,-0.242283412,-0.048722686,0.267218318,0.063040944,7,Go straight 1
99,0.074235442,-0.00423866,-0.086241926,0.069470796,4,Go straight 1
100,0.047859921,-0.143569549,0.046725087,0.007544753,1,Go straight 1
101,-0.176257575,0.025156389,0.118493171,0.002424666,7,Go straight 1
102,-0.017700659,-0.083395363,0.055574532,-0.018997699,1,Go straight 1
103,0.481386973,0.353769631,0.179507545,-0.003747461,5,Go straight 1
104,0.119954115,-0.172236687,0.077143013,0.023903366,1,Go straight 1
105,0.111294706,0.014558416,0.030388694,-0.013552427,4,Go straight 1
106,0.005697931,-0.006904416,-0.013935676,-0.005709054,4,Go straight 1
107,0.108057372,0.110197794,0.054276289,-0.001191497,8,Go straight 1
108,-0.125432317,0.154945795,0.035076787,-0.015193917,2,Go straight 1
109,-0.028632358,0.023485792,-0.039025869,0.071902627,4,Go straight 1
110,0.130998317,-0.158922005,0.184577863,-0.019299014,0,Turn right 1
111,0.098667393,0.023826295,0.081946132,0.036102089,0,Turn right 1
112,-0.105474437,0.171305792,0.227284693,7.49E-05,0,Turn right 1
113,0.180464515,-0.11100341,0.095593779,0.036098244,3,Turn right 1
114,0.118134563,0.081233285,0.033353425,0.049427336,8,Turn right 1
115,0.088926724,0.130549174,0.147266187,0.005762376,0,Turn right 1
116,0.160436159,-0.009343455,0.005830617,-0.026691129,3,Turn right 1
117,0.135614821,-0.012790497,0.265605862,0.057418972,0,Turn right 1
118,-0.184993582,0.174596327,-0.112140406,-0.029526564,2,Turn right 1
119,0.079185147,-0.056774674,0.131987158,-0.011532613,0,Turn right 1
120,-0.085081128,0.082688122,0.076078533,0.086057981,2,Turn right 1
121,0.201871134,0.329060243,0.079729852,0.035246522,5,Turn right 1
122,-0.041310537,0.0464452,0.157284636,-0.024444547,0,Turn right 1
123,0.157618303,-0.099731443,0.093674316,-0.007095358,3,Turn right 1
124,0.079148991,-0.016867843,0.12384156,0.019322758,0,Turn right 1
125,-0.070740172,-0.057234671,-0.028263086,-0.015398331,4,Turn right 1
126,-0.012601797,-0.06501905,0.116939839,-0.012123371,0,Turn right 1
127,-0.151962758,-0.113393771,-0.056600576,0.023556558,6,Turn right 1
128,-0.112546601,-0.146157039,0.081599436,-0.007493746,7,Turn right 1
129,-0.048044174,-0.130311505,-0.179166044,0.082553411,6,Turn right 1
130,-0.218200035,0.02169498,0.139622889,0.035893246,7,Turn right 1
131,-0.166909141,-0.115341002,0.019994626,-0.009721615,7,Turn right 1
132,-0.150499499,0.081429683,0.122011964,0.060833253,2,Turn right 1
133,-0.180196395,0.015523521,0.057944499,0.041797749,7,Turn right 1
134,-0.031628316,-0.261688025,0.01351567,-0.013008916,1,Turn right 1
135,-0.061097069,-0.080634051,-0.059701382,0.006978229,6,Turn right 1
136,-0.190967471,-0.080258207,0.176547577,-0.000651525,7,Turn right 1
137,0.022813035,-0.153050223,0.04675813,-0.015122133,1,Turn right 1
138,-0.123016131,0.091764453,0.192529576,-0.001712776,0,Turn right 1
139,-0.179393098,0.101178185,0.045813958,0.010903843,2,Turn right 1
140,0.058783998,0.091988044,0.064349063,-0.003252299,8,Turn right 1
141,-0.014611682,0.076807109,0.012265256,0.009375684,4,Turn right 1
142,-0.022606809,-0.134117581,0.217476277,-0.027053443,0,Turn right 1
143,0.123479315,-0.150574885,-0.049164429,-0.002428254,1,Turn right 1
144,-0.130653836,0.045603167,0.134248646,0.001241547,7,Turn right 1
145,-0.120486841,0.021564265,-0.124874633,0.054040659,6,Turn right 1
146,0.002106918,-0.091730362,0.120719436,-0.013341119,0,Turn right 1
147,-0.063160129,0.10104324,-0.082775537,0.037326648,2,Turn right 1
148,-0.165742979,0.089524194,0.158192416,-0.001485709,7,Turn right 1
149,-0.239127387,0.092396123,0.108613263,0.070627586,2,Turn right 1
150,-0.036614728,-0.108008975,0.064964657,-0.044359818,1,Turn right 1
151,-0.129145849,0.177365077,0.083431453,0.054750566,2,Turn right 1
152,-0.22020202,0.124858818,0.038394549,0.015480647,2,Turn right 1
153,0.158876254,-0.124822035,0.117375974,0.03747814,3,Turn right 1
154,0.073700158,-0.130915089,-0.015219136,-0.001214074,1,Turn right 1
155,-0.012531824,-0.027686144,0.202850014,-0.000594471,0,Turn right 1
156,-0.147444751,0.026192694,0.126055936,0.019092607,7,Turn right 1
157,-0.086314621,-0.082662683,0.185925892,0.026276794,7,Turn right 1
158,-0.075331333,0.112659351,0.058602393,-0.000391356,2,Turn right 1
159,0.165082003,-0.131881086,0.066951333,0.052960107,3,Turn right 1
160,0.113867589,-0.027454109,0.026465218,-0.005224767,3,Turn right 1
161,0.082072124,-0.032911591,0.055369865,0.018242053,4,Turn right 1
162,0.064409035,-0.02503691,0.153176543,-0.021266679,0,Turn right 1
163,0.070769215,0.088575794,0.290439347,0.020531535,0,Turn right 1
164,-0.01864641,0.018975875,0.057113059,-0.025933352,4,Turn right 1
165,0.002704507,0.080848132,0.089194879,-0.005153691,0,Turn right 1
166,-0.02395628,0.101141592,0.103719221,-0.005762486,0,Turn right 1
167,0.074640345,0.00774196,0.014873913,-0.014351156,4,Turn right 1
168,-0.110970672,0.185238174,0.12356821,0.003642267,2,Turn right 1
169,0.014041596,0.064503492,0.017635793,0.007474421,4,Turn right 1
170,-0.007607934,0.065175009,0.067967194,0.019032206,0,Turn right 1
171,0.039356706,-0.057758482,0.201515732,-0.013076729,0,Turn right 1
172,-0.073196607,0.004717341,0.000885684,-0.018397109,4,Turn right 1
